Variant,ConfigName,n,runtime_med,compile_med,size_med,alloca_med,load_med,store_med,gep_med,phi_med,bb_med,baseline_config,runtime_med_delta,runtime_med_delta_pct,compile_med_delta,compile_med_delta_pct,size_med_delta,size_med_delta_pct,alloca_med_delta,alloca_med_delta_pct,load_med_delta,load_med_delta_pct,store_med_delta,store_med_delta_pct,gep_med_delta,gep_med_delta_pct,phi_med_delta,phi_med_delta_pct,bb_med_delta,bb_med_delta_pct
A,EXP_000_ALL_OFF,3,4.088281,0.985102,449952,18,66,32,54,71,13,EXP_000_DEFAULT,-0.44373099999999965,-9.791037623024822,-0.538388,-35.33912267228534,-16.0,-0.0035558084130427052,1.0,5.88235294117647,1.0,1.5384615384615385,1.0,3.225806451612903,0.0,0.0,0.0,0.0,0.0,0.0
A,EXP_000_DEFAULT,3,4.532012,1.523490,449968,17,65,31,54,71,13,EXP_000_DEFAULT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,EXP_001_DISABLE_ALL,3,3.680088,1.433112,450208,17,65,31,54,71,13,EXP_000_DEFAULT,-0.8519239999999999,-18.79792021733393,-0.09037800000000007,-5.932300179193829,240.0,0.053337126195640586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,EXP_ABL_001_CopyProp,3,3.545132,1.571682,449968,17,65,31,54,71,13,EXP_000_DEFAULT,-0.9868799999999998,-21.77575875792032,0.04819200000000001,3.1632632967725427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,EXP_ABL_001_disable-binop-extract-shuffle,3,3.751717,0.987400,449968,17,65,31,54,71,13,EXP_000_DEFAULT,-0.7802949999999997,-17.217408073941545,-0.53609,-35.18828479346763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,EXP_ABL_002_DataflowConstProp,3,4.066621,1.490770,449968,17,65,31,54,71,13,EXP_000_DEFAULT,-0.46539100000000033,-10.268971044207305,-0.03272000000000008,-2.1477003459162898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,EXP_ABL_002_disable-expand-reductions,3,4.254488,1.570669,449968,17,65,31,54,71,13,EXP_000_DEFAULT,-0.27752399999999966,-6.123637801488603,0.04717900000000008,3.096771229217132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,EXP_ABL_003_DeadStoreElimination-final,3,4.583374,1.478689,449952,17,65,31,54,71,13,EXP_000_DEFAULT,0.05136200000000013,1.1333156222887346,-0.04480100000000009,-2.940682249309158,-16.0,-0.0035558084130427052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,EXP_ABL_003_disable-interleaved-load-combine,3,4.467895,1.506547,449968,17,65,31,54,71,13,EXP_000_DEFAULT,-0.06411699999999954,-1.4147579485667632,-0.01694299999999993,-1.1121175721534065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,EXP_ABL_004_DeadStoreElimination-initial,3,4.607413,1.507549,449968,17,65,31,54,71,13,EXP_000_DEFAULT,0.07540100000000027,1.6637422848836296,-0.015940999999999983,-1.046347530997905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
