Variant,ConfigName,n,runtime_med,compile_med,size_med,alloca_med,load_med,store_med,gep_med,phi_med,bb_med,baseline_config,runtime_med_delta,runtime_med_delta_pct,compile_med_delta,compile_med_delta_pct,size_med_delta,size_med_delta_pct,alloca_med_delta,alloca_med_delta_pct,load_med_delta,load_med_delta_pct,store_med_delta,store_med_delta_pct,gep_med_delta,gep_med_delta_pct,phi_med_delta,phi_med_delta_pct,bb_med_delta,bb_med_delta_pct
A,EXP_ABL_040_disable-constant-hoisting,3,1.849127,0.763695,449952,17,65,31,54,71,13,EXP_000_DEFAULT,-2.6828849999999997,-59.198541398389935,-0.759795,-49.872004410924916,-16.0,-0.0035558084130427052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,EXP_ABL_012_disable-loop-level-heuristics,3,2.020916,0.768782,449968,17,65,31,54,71,13,EXP_000_DEFAULT,-2.5110959999999998,-55.40797332398944,-0.754708,-49.53810002034802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,EXP_ABL_007_EnumSizeOpt,3,2.067293,0.983848,449968,17,65,31,54,71,13,EXP_000_DEFAULT,-2.464719,-54.38465299738836,-0.5396420000000001,-35.42143368187517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,EXP_DBL_0076,3,2.100020,0.760947,449968,17,65,31,54,71,13,EXP_000_DEFAULT,-2.4319919999999997,-53.66252340020282,-0.762543,-50.05237973337534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,EXP_DBL_1024,3,2.115874,0.750385,449968,17,65,31,54,71,13,EXP_000_DEFAULT,-2.416138,-53.31270084898275,-0.773105,-50.7456563548169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,EXP_ABL_072_disable-cgp,3,2.125512,0.789916,449984,17,65,31,54,71,13,EXP_000_DEFAULT,-2.4065,-53.10003592223498,-0.7335740000000001,-48.15089038982862,16.0,0.0035558084130427052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,EXP_DBL_0104,3,2.128221,0.854351,449968,17,65,31,54,71,13,EXP_000_DEFAULT,-2.403791,-53.040261146704815,-0.669139,-43.92145665544244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,EXP_DBL_1093,3,2.137529,0.715143,449888,17,65,31,54,71,13,EXP_000_DEFAULT,-2.394483,-52.834877754074796,-0.808347,-53.058897662603634,-80.0,-0.017779042065213527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,EXP_DBL_0920,3,2.178972,0.707979,449968,17,65,31,54,71,13,EXP_000_DEFAULT,-2.35304,-51.92042739516135,-0.815511,-53.529133765236395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,EXP_DBL_0019,3,2.183232,0.784615,449968,17,65,31,54,71,13,EXP_000_DEFAULT,-2.34878,-51.82642940927783,-0.7388750000000001,-48.49884147582196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,EXP_DBL_0338,3,2.187515,0.783294,449968,17,65,31,54,71,13,EXP_000_DEFAULT,-2.344497,-51.73192392253154,-0.740196,-48.58555028257487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,EXP_DBL_1196,3,2.203480,0.782296,449968,17,65,31,54,71,13,EXP_000_DEFAULT,-2.328532,-51.37965212801732,-0.741194,-48.65105776867587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,EXP_DBL_0268,3,2.205739,0.763631,449968,17,65,31,54,71,13,EXP_000_DEFAULT,-2.326273,-51.32980671719316,-0.7598590000000001,-49.87620529179713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,EXP_DBL_0582,3,2.243648,0.780078,449968,17,65,31,54,71,13,EXP_000_DEFAULT,-2.288364,-50.49333496910423,-0.743412,-48.79664454640332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,EXP_DBL_1059,3,2.277822,0.864937,449968,17,65,31,54,71,13,EXP_000_DEFAULT,-2.25419,-49.73927694807516,-0.658553,-43.22660470367381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,EXP_DBL_0303,3,2.284829,0.720917,449968,17,65,31,54,71,13,EXP_000_DEFAULT,-2.2471829999999997,-49.58466570697517,-0.802573,-52.67989944141412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,EXP_DBL_0512,3,2.299541,0.763363,449888,17,65,31,54,71,13,EXP_000_DEFAULT,-2.232471,-49.260041676853454,-0.760127,-49.893796480449495,-80.0,-0.017779042065213527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,EXP_DBL_1128,3,2.310261,0.775377,449968,17,65,31,54,71,13,EXP_000_DEFAULT,-2.221751,-49.02350214430147,-0.748113,-49.10521237421972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,EXP_DBL_0409,3,2.315836,0.770966,449968,17,65,31,54,71,13,EXP_000_DEFAULT,-2.216176,-48.900488348221494,-0.752524,-49.39474496058392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,EXP_DBL_1375,3,2.344100,0.760605,449968,17,65,31,54,71,13,EXP_000_DEFAULT,-2.187912,-48.27683598366465,-0.762885,-50.0748281905362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
