Variant,ConfigName,n,runtime_med,compile_med,size_med,alloca_med,load_med,store_med,gep_med,phi_med,bb_med,baseline_config,runtime_med_delta,runtime_med_delta_pct,compile_med_delta,compile_med_delta_pct,size_med_delta,size_med_delta_pct,alloca_med_delta,alloca_med_delta_pct,load_med_delta,load_med_delta_pct,store_med_delta,store_med_delta_pct,gep_med_delta,gep_med_delta_pct,phi_med_delta,phi_med_delta_pct,bb_med_delta,bb_med_delta_pct
B,EXP_DBL_0710,3,2.678800,0.949496,450000,17,65,31,54,71,13,EXP_000_DEFAULT,-1.819375,-40.44695904450138,-0.573994,-37.676256490032756,32.0,0.0071116168260854104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,EXP_DBL_1208,3,2.726149,1.069187,450000,17,65,31,54,71,13,EXP_000_DEFAULT,-1.7720259999999999,-39.394332145814694,-0.4543029999999999,-29.81988723260408,32.0,0.0071116168260854104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,EXP_DBL_0793,3,2.788629,0.906675,450000,17,65,31,54,71,13,EXP_000_DEFAULT,-1.709546,-38.00532438155474,-0.616815,-40.48697398735797,32.0,0.0071116168260854104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,EXP_DBL_0184,3,2.816748,0.927543,449936,17,65,31,54,71,13,EXP_000_DEFAULT,-1.6814269999999998,-37.38020419392309,-0.595947,-39.11722426796369,-32.0,-0.0071116168260854104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,EXP_DBL_1226,3,2.820740,1.013616,450000,17,65,31,54,71,13,EXP_000_DEFAULT,-1.677435,-37.291457090931324,-0.5098739999999999,-33.46749896618947,32.0,0.0071116168260854104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,EXP_DBL_0989,3,2.823922,0.738308,449968,17,65,31,54,71,13,EXP_000_DEFAULT,-1.6742529999999998,-37.220717290901305,-0.785182,-51.53837570315526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,EXP_ABL_011_disable-licm-promotion,3,2.825514,0.946356,449968,17,65,31,54,71,13,EXP_000_DEFAULT,-1.6726609999999997,-37.18532515964807,-0.577134,-37.88236220782545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,EXP_DBL_1125,3,2.836917,0.980829,450000,17,65,31,54,71,13,EXP_000_DEFAULT,-1.6612579999999997,-36.931822350175345,-0.5426610000000001,-35.61959710926885,32.0,0.0071116168260854104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,EXP_DBL_0544,3,2.842777,0.995854,450000,17,65,31,54,71,13,EXP_000_DEFAULT,-1.655398,-36.80154729418042,-0.527636,-34.63337468575442,32.0,0.0071116168260854104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,EXP_DBL_1374,3,2.848879,0.847803,450000,17,65,31,54,71,13,EXP_000_DEFAULT,-1.6492959999999997,-36.665892278535175,-0.675687,-44.351259279680214,32.0,0.0071116168260854104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
