Variant,ConfigName,n,runtime_med,compile_med,size_med,alloca_med,load_med,store_med,gep_med,phi_med,bb_med,baseline_config,runtime_med_delta,runtime_med_delta_pct,compile_med_delta,compile_med_delta_pct,size_med_delta,size_med_delta_pct,alloca_med_delta,alloca_med_delta_pct,load_med_delta,load_med_delta_pct,store_med_delta,store_med_delta_pct,gep_med_delta,gep_med_delta_pct,phi_med_delta,phi_med_delta_pct,bb_med_delta,bb_med_delta_pct
C,EXP_ABL_040_disable-constant-hoisting,3,1.010974,0.763695,449952,17,65,31,54,71,13,EXP_000_DEFAULT,-1.432239,-58.62112717966055,-0.759795,-49.872004410924916,-16.0,-0.0035558084130427052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,EXP_DBL_0582,3,1.062979,0.780078,449968,17,65,31,54,71,13,EXP_000_DEFAULT,-1.3802340000000002,-56.49257760170726,-0.743412,-48.79664454640332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,EXP_DBL_0104,3,1.076969,0.854351,449968,17,65,31,54,71,13,EXP_000_DEFAULT,-1.366244,-55.91997095627765,-0.669139,-43.92145665544244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,EXP_ABL_072_disable-cgp,3,1.084744,0.789916,449984,17,65,31,54,71,13,EXP_000_DEFAULT,-1.3584690000000001,-55.60174245962182,-0.7335740000000001,-48.15089038982862,16.0,0.0035558084130427052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,EXP_DBL_1024,3,1.100680,0.750385,449968,17,65,31,54,71,13,EXP_000_DEFAULT,-1.342533,-54.94948659818034,-0.773105,-50.7456563548169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,EXP_DBL_0756,3,1.112229,0.780267,449968,17,65,31,54,71,13,EXP_000_DEFAULT,-1.3309840000000002,-54.47678937530212,-0.743223,-48.78423882007758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,EXP_DBL_0019,3,1.121092,0.784615,449968,17,65,31,54,71,13,EXP_000_DEFAULT,-1.322121,-54.11402935396955,-0.7388750000000001,-48.49884147582196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,EXP_DBL_1093,3,1.133233,0.715143,449888,17,65,31,54,71,13,EXP_000_DEFAULT,-1.3099800000000001,-53.617101742664275,-0.808347,-53.058897662603634,-80.0,-0.017779042065213527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,EXP_DBL_1196,3,1.137291,0.782296,449968,17,65,31,54,71,13,EXP_000_DEFAULT,-1.305922,-53.45100897875052,-0.741194,-48.65105776867587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,EXP_DBL_0338,3,1.145048,0.783294,449968,17,65,31,54,71,13,EXP_000_DEFAULT,-1.298165,-53.133517216877934,-0.740196,-48.58555028257487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,EXP_DBL_0076,3,1.151967,0.760947,449968,17,65,31,54,71,13,EXP_000_DEFAULT,-1.2912460000000001,-52.85032455213688,-0.762543,-50.05237973337534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,EXP_DBL_1128,3,1.179920,0.775377,449968,17,65,31,54,71,13,EXP_000_DEFAULT,-1.263293,-51.70621636345255,-0.748113,-49.10521237421972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
