Variant,ConfigName,n,runtime_med,compile_med,size_med,alloca_med,load_med,store_med,gep_med,phi_med,bb_med,baseline_config,runtime_med_delta,runtime_med_delta_pct,compile_med_delta,compile_med_delta_pct,size_med_delta,size_med_delta_pct,alloca_med_delta,alloca_med_delta_pct,load_med_delta,load_med_delta_pct,store_med_delta,store_med_delta_pct,gep_med_delta,gep_med_delta_pct,phi_med_delta,phi_med_delta_pct,bb_med_delta,bb_med_delta_pct
B,EXP_DBL_1638,3,5.366582,3.207373,449968,17,65,31,54,71,13,EXP_000_DEFAULT,0.8684070000000004,19.305762892728726,1.683883,110.52799821462563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,EXP_DBL_1483,3,4.870268,1.737056,449984,17,65,31,54,71,13,EXP_000_DEFAULT,0.37209300000000045,8.272088124628333,0.21356599999999992,14.018208193030471,16.0,0.0035558084130427052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,EXP_DBL_1410,3,4.775487,1.728065,449984,17,65,31,54,71,13,EXP_000_DEFAULT,0.2773120000000002,6.164989134482323,0.20457499999999995,13.428050069248892,16.0,0.0035558084130427052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,EXP_DBL_1461,3,4.731698,1.785082,449952,17,65,31,54,71,13,EXP_000_DEFAULT,0.23352299999999993,5.191505443874458,0.26159200000000005,17.170575455040733,-16.0,-0.0035558084130427052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,EXP_DBL_1576,3,4.730693,1.719078,449984,17,65,31,54,71,13,EXP_000_DEFAULT,0.23251799999999978,5.169163049458943,0.1955880000000001,12.838154500521833,16.0,0.0035558084130427052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,EXP_DBL_1590,3,4.658964,1.668936,449984,17,65,31,54,71,13,EXP_000_DEFAULT,0.1607890000000003,3.5745385628616115,0.14544599999999996,9.5468956146742,16.0,0.0035558084130427052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,EXP_DBL_1512,3,4.654913,1.651400,449952,17,65,31,54,71,13,EXP_000_DEFAULT,0.15673799999999982,3.484479816814593,0.12790999999999997,8.395854255689237,-16.0,-0.0035558084130427052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,EXP_DBL_1627,3,4.623652,1.616245,449952,17,65,31,54,71,13,EXP_000_DEFAULT,0.12547700000000006,2.7895090786819114,0.09275499999999992,6.088323520338166,-16.0,-0.0035558084130427052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,EXP_DBL_1617,3,4.593659,1.791446,449952,17,65,31,54,71,13,EXP_000_DEFAULT,0.0954839999999999,2.1227275506177485,0.2679560000000001,17.588300546770906,-16.0,-0.0035558084130427052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,EXP_DBL_1429,3,4.589514,1.534660,449952,17,65,31,54,71,13,EXP_000_DEFAULT,0.0913390000000005,2.030579068177661,0.011169999999999902,0.7331849897275271,-16.0,-0.0035558084130427052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,EXP_DBL_1493,3,4.584649,1.574979,449984,17,65,31,54,71,13,EXP_000_DEFAULT,0.08647399999999994,1.9224240942159865,0.051488999999999896,3.37967430045487,16.0,0.0035558084130427052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,EXP_DBL_1566,3,4.559285,1.708321,449984,17,65,31,54,71,13,EXP_000_DEFAULT,0.06111000000000022,1.3585509678925392,0.18483099999999997,12.13207832017276,16.0,0.0035558084130427052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,EXP_DBL_1534,3,4.553002,1.582227,449952,17,65,31,54,71,13,EXP_000_DEFAULT,0.0548270000000004,1.2188720981286947,0.05873700000000004,3.8554240592324227,-16.0,-0.0035558084130427052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,EXP_DBL_1635,3,4.536189,1.745300,449968,17,65,31,54,71,13,EXP_000_DEFAULT,0.038014000000000436,0.8450982898620093,0.22181000000000006,14.55933416038176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,EXP_ABL_013_InstSimplify-before-inline,3,4.532680,1.004806,449968,17,65,31,54,71,13,EXP_000_DEFAULT,0.03450500000000023,0.7670888749326167,-0.5186839999999999,-34.04577647375434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,EXP_DBL_1451,3,4.524991,1.650953,449952,17,65,31,54,71,13,EXP_000_DEFAULT,0.026816000000000173,0.596152884225273,0.12746299999999988,8.366513728347405,-16.0,-0.0035558084130427052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,EXP_ABL_016_ReferencePropagation,3,4.517660,1.517008,449968,17,65,31,54,71,13,EXP_000_DEFAULT,0.01948500000000042,0.43317567680226804,-0.006482000000000099,-0.42547046583831194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,EXP_DBL_1544,3,4.514821,1.566574,449952,17,65,31,54,71,13,EXP_000_DEFAULT,0.016646000000000605,0.3700611914832261,0.0430839999999999,2.827980492159443,-16.0,-0.0035558084130427052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,EXP_DBL_0061,3,4.512730,1.514931,449968,17,65,31,54,71,13,EXP_000_DEFAULT,0.01455500000000054,0.3235756723560231,-0.008558999999999983,-0.5618021778941761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,EXP_DBL_1659,3,4.505901,1.521363,449984,17,65,31,54,71,13,EXP_000_DEFAULT,0.0077259999999999,0.17175854652164266,-0.00212699999999999,-0.13961365023728348,16.0,0.0035558084130427052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
