Variant,ConfigName,n,runtime_med,compile_med,size_med,alloca_med,load_med,store_med,gep_med,phi_med,bb_med,baseline_config,runtime_med_delta,runtime_med_delta_pct,compile_med_delta,compile_med_delta_pct,size_med_delta,size_med_delta_pct,alloca_med_delta,alloca_med_delta_pct,load_med_delta,load_med_delta_pct,store_med_delta,store_med_delta_pct,gep_med_delta,gep_med_delta_pct,phi_med_delta,phi_med_delta_pct,bb_med_delta,bb_med_delta_pct
C,EXP_DBL_1638,3,8.788298,3.207373,449968,17,65,31,54,71,13,EXP_000_DEFAULT,6.345084999999999,259.70249012263764,1.683883,110.52799821462563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,EXP_DBL_1461,3,7.935395,1.785082,449952,17,65,31,54,71,13,EXP_000_DEFAULT,5.492182,224.79341752028986,0.26159200000000005,17.170575455040733,-16.0,-0.0035558084130427052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,EXP_DBL_1441,3,7.696993,2.146235,449968,17,65,31,54,71,13,EXP_000_DEFAULT,5.25378,215.03569275376316,0.6227449999999999,40.876211855673475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,EXP_DBL_1405,3,7.584114,1.891044,449968,17,65,31,54,71,13,EXP_000_DEFAULT,5.1409009999999995,210.4155879982629,0.36755399999999994,24.125790126617172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,EXP_DBL_1639,3,7.129882,1.673943,449968,17,65,31,54,71,13,EXP_000_DEFAULT,4.686669,191.8240038834109,0.15045299999999995,9.875548904160837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,EXP_DBL_1501,3,6.940783,2.043910,449968,17,65,31,54,71,13,EXP_000_DEFAULT,4.49757,184.08423661792892,0.5204199999999999,34.159725367412975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,EXP_DBL_1635,3,6.916003,1.745300,449968,17,65,31,54,71,13,EXP_000_DEFAULT,4.47279,183.0699983996483,0.22181000000000006,14.55933416038176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,EXP_DBL_1637,3,6.749768,1.850007,449968,17,65,31,54,71,13,EXP_000_DEFAULT,4.306555,176.26604802774054,0.32651699999999995,21.432172183604745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,EXP_DBL_1647,3,6.676646,1.784598,449968,17,65,31,54,71,13,EXP_000_DEFAULT,4.233433,173.27318575989895,0.2611079999999999,17.13880629344465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,EXP_DBL_1440,3,6.608906,1.836229,449968,17,65,31,54,71,13,EXP_000_DEFAULT,4.165693,170.50060719225053,0.3127389999999999,20.527801298334737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,EXP_DBL_1483,3,6.589862,1.737056,449984,17,65,31,54,71,13,EXP_000_DEFAULT,4.146649,169.72114179156708,0.21356599999999992,14.018208193030471,16.0,0.0035558084130427052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
