Variant,ConfigName,n,runtime_med,compile_med,size_med,alloca_med,load_med,store_med,gep_med,phi_med,bb_med
B,EXP_000_ALL_OFF,3,3.287698,0.122670,453736,15,74,28,69,699,8
B,EXP_001_DISABLE_ALL,3,3.310300,0.116756,453368,15,74,28,69,456,8
B,EXP_ABL_001_CopyProp,3,2.845307,0.136718,453752,15,74,28,69,699,8
B,EXP_ABL_001_disable-binop-extract-shuffle,3,3.591543,0.120351,453752,15,74,28,69,699,8
B,EXP_ABL_002_DataflowConstProp,3,2.894508,0.125027,453752,15,74,28,69,699,8
B,EXP_ABL_002_disable-expand-reductions,3,3.816260,0.111385,453752,15,74,28,69,699,8
B,EXP_ABL_003_DeadStoreElimination-final,3,2.950713,0.128895,453720,15,74,28,69,699,8
B,EXP_ABL_003_disable-interleaved-load-combine,3,2.940441,0.193285,453752,15,74,28,69,699,8
B,EXP_ABL_004_DeadStoreElimination-initial,3,2.957476,0.186325,453752,15,74,28,69,699,8
B,EXP_ABL_004_disable-loop-idiom-vectorize-all,3,2.961514,0.115611,453752,15,74,28,69,699,8
B,EXP_ABL_005_DestinationPropagation,3,2.885811,0.213507,453752,15,74,28,69,699,8
B,EXP_ABL_005_disable-loop-idiom-vectorize-bytecmp,3,2.926538,0.130258,453752,15,74,28,69,699,8
B,EXP_ABL_006_EarlyOtherwiseBranch,3,3.579424,0.120040,453752,15,74,28,69,699,8
B,EXP_ABL_006_disable-promote-alloca-to-vector,3,2.886874,0.133387,453752,15,74,28,69,699,8
B,EXP_ABL_007_EnumSizeOpt,3,3.557773,0.105845,453752,15,74,28,69,699,8
B,EXP_ABL_007_disable-replace-with-vec-lib,3,2.894592,0.130961,453752,15,74,28,69,699,8
B,EXP_ABL_008_ForceInline,3,4.182779,0.124612,453752,15,74,28,69,699,8
B,EXP_ABL_008_disable-vector-combine,3,2.967720,0.159971,453752,15,74,28,69,699,8
B,EXP_ABL_009_GVN,3,3.178487,0.140196,453752,15,74,28,69,699,8
B,EXP_ABL_009_disable-advanced-peeling,3,3.024140,0.125125,453752,15,74,28,69,699,8
B,EXP_ABL_010_ImpossiblePredicates,3,2.863552,0.120491,453752,15,74,28,69,699,8
B,EXP_ABL_010_disable-lftr,3,3.483422,0.120502,453864,15,74,28,69,699,8
B,EXP_ABL_011_Inline,3,2.787531,0.113396,453736,16,75,29,69,699,8
B,EXP_ABL_011_disable-licm-promotion,3,2.806989,0.127297,453320,15,74,28,69,456,8
