Experiment,Criterion,Rank,SourceCSV,ConfigName,RunID,LLVM_Pass,MIR_Pass,BinarySize(Bytes),NsPerIter,MBps,TotalRuntime(s),CompileTime(s),Status
hyper,Fastest TotalRuntime(s),1,d:\MIR_LLVM\mir_-llvm\hyper\mir_llvm_hybrid_py\20260319_180449\experiment_results.csv,EXP_DBL_0355,1,early-taildup,DestinationPropagation,15026176,9888840.00,2120,3.104793,29.182094,Success
hyper,Fastest TotalRuntime(s),2,d:\MIR_LLVM\mir_-llvm\hyper\mir_llvm_hybrid_py\20260319_180449\experiment_results.csv,EXP_DBL_0362,1,ifcvt-triangle-rev,DestinationPropagation,15027712,9959060.00,2105,3.112736,31.197899,Success
hyper,Fastest TotalRuntime(s),3,d:\MIR_LLVM\mir_-llvm\hyper\mir_llvm_hybrid_py\20260319_180449\experiment_results.csv,EXP_DBL_0684,1,cgp-select2branch,GVN,15034880,9758270.00,2149,3.144868,32.718009,Success
hyper,Fastest TotalRuntime(s),4,d:\MIR_LLVM\mir_-llvm\hyper\mir_llvm_hybrid_py\20260319_180449\experiment_results.csv,EXP_DBL_0365,1,cgp-ext-ld-promotion,DestinationPropagation,15027712,9701570.00,2161,3.170633,31.498079,Success
hyper,Fastest TotalRuntime(s),5,d:\MIR_LLVM\mir_-llvm\hyper\mir_llvm_hybrid_py\20260319_180449\experiment_results.csv,EXP_DBL_0354,1,early-ifcvt,DestinationPropagation,15027712,9876320.00,2123,3.174285,29.189033,Success
hyper,Fastest TotalRuntime(s),6,d:\MIR_LLVM\mir_-llvm\hyper\mir_llvm_hybrid_py\20260319_180449\experiment_results.csv,EXP_DBL_0678,1,machine-licm,GVN,14977536,9675160.00,2167,3.259591,31.185454,Success
hyper,Fastest TotalRuntime(s),7,d:\MIR_LLVM\mir_-llvm\hyper\mir_llvm_hybrid_py\20260319_180449\experiment_results.csv,EXP_DBL_0353,1,chr,DestinationPropagation,15027712,10270850.00,2041,3.284421,29.705469,Success
hyper,Fastest TotalRuntime(s),8,d:\MIR_LLVM\mir_-llvm\hyper\mir_llvm_hybrid_py\20260319_180449\experiment_results.csv,EXP_DBL_0672,1,vector-combine,GVN,15034880,8991670.00,2332,3.286102,28.560275,Success
hyper,Fastest TotalRuntime(s),9,d:\MIR_LLVM\mir_-llvm\hyper\mir_llvm_hybrid_py\20260319_180449\experiment_results.csv,EXP_DBL_0674,1,lftr,GVN,15034368,9691030.00,2164,3.311790,30.704082,Success
hyper,Fastest TotalRuntime(s),10,d:\MIR_LLVM\mir_-llvm\hyper\mir_llvm_hybrid_py\20260319_180449\experiment_results.csv,EXP_DBL_0357,1,ifcvt-forked-diamond,DestinationPropagation,15027712,10647050.00,1969,3.378527,37.557653,Success
