mir_pass,llvm_pass,y00_mean,y10_mean,y01_mean,y11_mean,delta,ci_low,ci_high,p_value,p_adj,significant
EarlyOtherwiseBranch,advanced-peeling,7.35267688262129,7.601962022378286,7.440219420436359,18.32115274150134,-0.8678140132560441,-0.9411379058967609,-0.7944901206153273,3.501024413483423e-05,0.05671659549843145,False
DestinationPropagation,chr,7.35267688262129,7.777911997258229,7.274385810240683,3.5548665206989845,0.7722653418722274,0.6451450294739361,0.8993856542705186,0.00032244156106477187,0.2611776644624652,False
MatchBranchSimplification,sample-loader-inlining,7.35267688262129,7.438488195398959,12.779081725328636,5.46446866705372,0.8611458816980715,0.24843825038698553,1.4738535130091575,0.10683225848180017,0.47252446167941564,False
DestinationPropagation,early-ifcvt,7.35267688262129,7.777911997258229,7.247480566617246,3.581746651071684,0.7610268003437575,0.605275047806991,0.9167785528805239,0.0012916957736587567,0.47252446167941564,False
GVN,lsr,7.35267688262129,7.876930314462918,7.431374756190931,3.885376525225005,0.7173647978872184,0.5203603107275862,0.9143692850468507,0.0021664868823512273,0.47252446167941564,False
ImpossiblePredicates,sample-loader-inlining,7.35267688262129,8.36886471829007,12.779081725328636,7.180389148343958,0.7059098030274478,0.07041685990487778,1.3414027461500178,0.13974202550574927,0.47252446167941564,False
CopyProp,sample-loader-inlining,7.35267688262129,8.385731310109225,12.779081725328636,7.230520232699435,0.7009657648838532,0.07177601413563595,1.3301555156320704,0.14108170960619235,0.47252446167941564,False
DestinationPropagation,cgp-ext-ld-promotion,7.35267688262129,7.777911997258229,7.273621221808518,3.830253491880955,0.6975467581663224,0.4655563204159775,0.9295371959166673,0.01389030433925873,0.47252446167941564,False
DeadStoreElimination-initial,sample-loader-inlining,7.35267688262129,8.264643522407274,12.779081725328636,7.2674517702199335,0.6813260275464847,0.06257934651555697,1.3000727085774124,0.15199244723769156,0.47252446167941564,False
InstSimplify-before-inline,sample-loader-inlining,7.35267688262129,7.846163962657588,12.779081725328636,6.943973293625844,0.6748957590466875,0.05601725947954217,1.293774258613833,0.15791034029625994,0.47252446167941564,False
Inline,sample-loader-inlining,7.35267688262129,7.9066574189400765,12.779081725328636,7.02486233392851,0.6709946426685525,0.06514707718572543,1.2768422081513795,0.15960035584502041,0.47252446167941564,False
JumpThreading,sample-loader-inlining,7.35267688262129,7.953707603542396,12.779081725328636,7.095620662492033,0.6669055447871521,0.05125839462747994,1.2825526949468244,0.15697972028569204,0.47252446167941564,False
GVN,vector-combine,7.35267688262129,7.876930314462918,7.472408618651738,4.189484539257829,0.6475135067074236,0.33182513859310847,0.9632018748217387,0.03078541408793481,0.47252446167941564,False
InstSimplify-after-simplifycfg,sample-loader-inlining,7.35267688262129,7.760285076165665,12.779081725328636,7.094302288990537,0.6424722480249339,0.03265171274441225,1.2522927833054553,0.17115974862011482,0.47252446167941564,False
GVN,lftr,7.35267688262129,7.876930314462918,7.435434284523907,4.207503711439975,0.6382612851883853,0.3544550114042463,0.9220675589725243,0.02095044552788637,0.47252446167941564,False
DataflowConstProp,sample-loader-inlining,7.35267688262129,7.845117099340808,12.779081725328636,7.315016656716349,0.6227071464150091,0.014101677329771967,1.2313126155002463,0.17923157883251992,0.47252446167941564,False
MatchBranchSimplification,thinlto-funcattrs,7.35267688262129,7.438488195398959,10.113358675928282,5.489637926326382,0.6225980692686077,0.0749429154528708,1.1702532230843445,0.15105962848191484,0.47252446167941564,False
GVN,machine-licm,7.35267688262129,7.876930314462918,7.351791549787277,4.302065996015824,0.6047224856252256,0.29416175319021776,0.9152832180602334,0.03439559481272396,0.47252446167941564,False
DeadStoreElimination-final,sample-loader-inlining,7.35267688262129,7.766159766540187,12.779081725328636,7.462050417516007,0.592690717571122,-0.01716789298799526,1.2025493281302393,0.1925364086498802,0.47252446167941564,False
GVN,advanced-peeling,7.35267688262129,7.876930314462918,7.440219420436359,4.578859187313307,0.5543242843797866,0.32735376006552863,0.7812948086940447,0.011092935028448797,0.47252446167941564,False
GVN,loop-level-heuristics,7.35267688262129,7.876930314462918,7.38567742677973,4.557955464057677,0.5515423073741366,0.30948933444785065,0.7935952803004225,0.015465837613761847,0.47252446167941564,False
UnreachableEnumBranching,sample-loader-inlining,7.35267688262129,7.810365104635839,12.779081725328636,7.9550580999538,0.5343888910249583,-0.07942846087253996,1.1482062429224567,0.22165081958507948,0.47252446167941564,False
ImpossiblePredicates,thinlto-funcattrs,7.35267688262129,8.36886471829007,10.113358675928282,6.774204968288802,0.5301889687458647,-0.037511659897084604,1.097889597388814,0.18218563807829943,0.47252446167941564,False
GVN,block-placement,7.35267688262129,7.876930314462918,7.526742715618149,4.821884538047224,0.5141713646267017,0.36782394414515157,0.6605187851082517,0.007935249303740777,0.47252446167941564,False
EarlyOtherwiseBranch,sample-loader-inlining,7.35267688262129,7.601962022378286,12.779081725328636,8.004792654013622,0.5011110760131519,-0.10928533339496072,1.1115074854212645,0.24684819445156556,0.47252446167941564,False
ForceInline,sample-loader-inlining,7.35267688262129,8.056304195918129,12.779081725328636,8.496230166322409,0.49957750485277974,-0.12059055171438371,1.1197455614199432,0.24444736759286906,0.47252446167941564,False
GVN,preheader-prot,7.35267688262129,7.876930314462918,7.515598791307463,4.942584321356078,0.4879661884642075,0.29837027987810805,0.6775620970503069,0.007546050352271199,0.47252446167941564,False
GVN,licm-promotion,7.35267688262129,7.876930314462918,7.493521329402916,4.994832218131311,0.4745088282486285,0.2906244949026792,0.6583931615945777,0.007552249091868291,0.47252446167941564,False
UnreachablePropagation,sample-loader-inlining,7.35267688262129,7.773305369931363,12.779081725328636,8.4094934887725,0.47407937579605863,-0.1349411807700549,1.0830999323621722,0.26111259580777363,0.47252446167941564,False
GVN,sample-loader-inlining,7.35267688262129,7.876930314462918,12.779081725328636,8.562391976081404,0.469303831648183,-0.14705380819240832,1.0856614714887742,0.26351532981805925,0.47252446167941564,False
GVN,postra-machine-licm,7.35267688262129,7.876930314462918,7.464895764583093,5.029476957890612,0.46376929882147233,0.30754563136807467,0.61999296627487,0.007900112254433987,0.47252446167941564,False
CopyProp,thinlto-funcattrs,7.35267688262129,8.385731310109225,10.113358675928282,7.2865338385544,0.4592963854278578,-0.1046769688748177,1.0232697397305333,0.22848606274740102,0.47252446167941564,False
GVN,cgp-branch-opts,7.35267688262129,7.876930314462918,7.108949830903172,4.818062668589467,0.45785644384598334,0.2679573238387106,0.6477555638532561,0.009488546242792618,0.47252446167941564,False
InstSimplify-before-inline,thinlto-funcattrs,7.35267688262129,7.846163962657588,10.113358675928282,6.9092892861532045,0.44595070810722204,-0.10120040308123635,0.9931018192956804,0.24147198741700057,0.47252446167941564,False
DestinationPropagation,ifcvt-forked-diamond,7.35267688262129,7.777911997258229,7.344309231422144,4.991054428671097,0.4425020360329792,0.04588472621392953,0.839119345852029,0.14880581303087806,0.47252446167941564,False
GVN,branch-fold,7.35267688262129,7.876930314462918,7.1408472002013585,4.922364058622194,0.440916335316891,0.27673125705202684,0.6051014135817552,0.008479314745164508,0.47252446167941564,False
DeadStoreElimination-initial,thinlto-funcattrs,7.35267688262129,8.264643522407274,10.113358675928282,7.391662070012539,0.4304267241723616,-0.1205740866222047,0.9814275349669279,0.25185365355283873,0.47252446167941564,False
Inline,thinlto-funcattrs,7.35267688262129,7.9066574189400765,10.113358675928282,7.125213536350366,0.42285816260204045,-0.1124659253278586,0.9581822505319395,0.25874132090390134,0.47252446167941564,False
InstSimplify-after-simplifycfg,thinlto-funcattrs,7.35267688262129,7.760285076165665,10.113358675928282,7.0066789919861785,0.4209479767481885,-0.1199432678667347,0.9618392213631117,0.2622957770350986,0.47252446167941564,False
JumpThreading,thinlto-funcattrs,7.35267688262129,7.953707603542396,10.113358675928282,7.213802757763133,0.4164346871329003,-0.13385925074223926,0.9667286250080399,0.2639710278050252,0.47252446167941564,False
SingleUseConsts,tail-duplicate,7.35267688262129,7.534246412410569,7.358416253013124,11.348211658579,-0.4088210750051309,-0.9142182038541278,0.09657605384386603,0.24505225102893602,0.47252446167941564,False
EarlyOtherwiseBranch,vector-combine,7.35267688262129,7.601962022378286,7.472408618651738,11.234483625420998,-0.3744286310779532,-0.845951648745287,0.09709438658938063,0.25658467661657225,0.47252446167941564,False
MatchBranchSimplification,ra-fsprofile-loader,7.35267688262129,7.438488195398959,7.447135113271459,5.613666240003149,0.29422856509561246,0.012984537508540728,0.5754725926826842,0.16019953264436124,0.47252446167941564,False
DestinationPropagation,ifcvt-simple,7.35267688262129,7.777911997258229,7.243965705314195,5.867485009650412,0.2669661845790494,0.09578494035330928,0.4381474288047895,0.05125381551634403,0.47252446167941564,False
ReferencePropagation,post-ra,7.35267688262129,7.4759587912875896,7.37746304265649,9.47264559033495,-0.2333504864193774,-0.32819611547689653,-0.13850485736185825,0.00994582539064563,0.47252446167941564,False
EarlyOtherwiseBranch,cgp-ext-ld-promotion,7.35267688262129,7.601962022378286,7.273621221808518,9.404200053876133,-0.2235602052287795,-0.3395021883783338,-0.10761822207922521,0.030792960108688167,0.47252446167941564,False
ImpossiblePredicates,cfi-fixup,7.35267688262129,8.36886471829007,7.548932374986865,6.875826695228308,0.22284805273610675,-0.000253115379928337,0.44594922085214184,0.14118866761146703,0.47252446167941564,False
ImpossiblePredicates,licm-promotion,7.35267688262129,8.36886471829007,7.493521329402916,6.833403916150942,0.22166968753328464,0.016336026754332766,0.4270033483122365,0.14333107368587086,0.47252446167941564,False
DestinationPropagation,tail-calls,7.35267688262129,7.777911997258229,7.363051447723279,9.677238905747789,-0.21707870517927574,-0.3262392110620618,-0.10791819929648971,0.021548138016654964,0.47252446167941564,False
ImpossiblePredicates,ssc,7.35267688262129,8.36886471829007,7.392314483350247,6.79364362984247,0.21390725213668138,-0.0005911715331282097,0.42840567580649097,0.15101713764746813,0.47252446167941564,False
ImpossiblePredicates,bitcode-version-upgrade,7.35267688262129,8.36886471829007,7.446668189815669,6.855075333516916,0.2122311966508461,-0.005975663467866293,0.4304380567695585,0.15374050829674712,0.47252446167941564,False
ImpossiblePredicates,copyprop,7.35267688262129,8.36886471829007,7.5982827264144035,6.995286040778334,0.21213955491388692,0.008458669755312648,0.4158204400724612,0.15568717887738842,0.47252446167941564,False
ImpossiblePredicates,mergeicmps,7.35267688262129,8.36886471829007,7.522902479842337,6.933017234732615,0.21111071536674775,0.005703303283521977,0.4165181274499735,0.1562133636108326,0.47252446167941564,False
ImpossiblePredicates,machine-cse,7.35267688262129,8.36886471829007,7.406036233129935,6.829109393421363,0.21055489574206288,0.005850679985009516,0.4152591114991162,0.15722776588735438,0.47252446167941564,False
ImpossiblePredicates,promote-alloca-to-vector,7.35267688262129,8.36886471829007,7.574332838919381,6.992212677324991,0.20942200798133204,0.0022455561808885915,0.41659845978177545,0.15780710291959504,0.47252446167941564,False
ImpossiblePredicates,ifcvt-diamond,7.35267688262129,8.36886471829007,7.440684432505671,6.878098627003115,0.20807437649715177,-0.005868359591344879,0.42201711258564845,0.1588793220548939,0.47252446167941564,False
ImpossiblePredicates,strictnode-mutation,7.35267688262129,8.36886471829007,7.499887840983677,6.942331220919262,0.20670422664923116,-0.008738748667224183,0.4221472019656865,0.16095336229500343,0.47252446167941564,False
ImpossiblePredicates,demotion,7.35267688262129,8.36886471829007,7.466027453331775,6.919341852355218,0.20549619019697474,-0.0065280378948189555,0.4175204182887684,0.16245414687686172,0.47252446167941564,False
ImpossiblePredicates,machine-sink,7.35267688262129,8.36886471829007,7.677938298262434,7.121289305944803,0.20471605870995924,-1.0587122099753321e-05,0.40944270454201825,0.1649994738475379,0.47252446167941564,False
ImpossiblePredicates,constant-hoisting,7.35267688262129,8.36886471829007,7.789256201709466,7.226023572292091,0.20451026895038238,0.004797571894621877,0.4042229660061429,0.16804342006768958,0.47252446167941564,False
DestinationPropagation,ifcvt-simple-false,7.35267688262129,7.777911997258229,7.29517683832318,6.296600340437608,0.203427036186566,0.04837163177098125,0.35848244060215073,0.07302045357504233,0.47252446167941564,False
ImpossiblePredicates,dfa-sched,7.35267688262129,8.36886471829007,7.47330170650265,6.942062771536119,0.20319172698932442,-0.007088681004082831,0.41347213498273166,0.1658232074607688,0.47252446167941564,False
ImpossiblePredicates,phi-elim-edge-splitting,7.35267688262129,8.36886471829007,7.3449572598934365,6.832768095682109,0.20173790398295832,-0.012440310084991663,0.41591611805090833,0.1680198032924197,0.47252446167941564,False
ImpossiblePredicates,i2p-p2i-opt,7.35267688262129,8.36886471829007,7.573122284928987,7.045208607113249,0.20171147157834057,-0.00509290288219541,0.4085158460388766,0.16853256765148972,0.47252446167941564,False
ImpossiblePredicates,vector-combine,7.35267688262129,8.36886471829007,7.472408618651738,6.952341348804283,0.20159268818074105,-0.017606204319689706,0.42079158068117184,0.1693791891703983,0.47252446167941564,False
ReferencePropagation,spill-fusing,7.35267688262129,7.4759587912875896,7.367788509944833,9.158516806216763,-0.2009387213699938,-0.2910039479554942,-0.1108734947844934,0.014024638674827143,0.47252446167941564,False
ImpossiblePredicates,nofree-inference,7.35267688262129,8.36886471829007,7.53490474411919,7.017786134478947,0.20055217703161388,-0.013179745820731753,0.41428409988395953,0.16974340558491213,0.47252446167941564,False
SingleUseConsts,gep-const-evaluation,7.35267688262129,7.534246412410569,7.345348984748472,9.188337584963778,-0.1994733375407054,-0.3559641174206889,-0.04298255766072187,0.0725921128004851,0.47252446167941564,False
ImpossiblePredicates,preheader-prot,7.35267688262129,8.36886471829007,7.515598791307463,7.011080123162159,0.19894271680867925,-0.019751414651089566,0.41763684826844805,0.17331347608604386,0.47252446167941564,False
SingleUseConsts,ifcvt-triangle,7.35267688262129,7.534246412410569,7.321349579226093,9.149948841258762,-0.19855924161037475,-0.30461255247022956,-0.09250593075051994,0.04272048400933405,0.47252446167941564,False
ImpossiblePredicates,cgp,7.35267688262129,8.36886471829007,7.443630811443355,6.959517269486933,0.19670241765076946,-0.0035277107890553105,0.39693254609059425,0.17860953782411182,0.47252446167941564,False
ImpossiblePredicates,cgp-store-extract,7.35267688262129,8.36886471829007,7.455381461816144,6.97122713850383,0.1965986358382612,-0.033073809590093844,0.4262710812666163,0.18310238994152547,0.47252446167941564,False
ImpossiblePredicates,nounwind-inference,7.35267688262129,8.36886471829007,7.313903640601687,6.839901801195886,0.19645755967107825,-0.01578737756413387,0.40870249690629035,0.1758767168071096,0.47252446167941564,False
SingleUseConsts,early-ifcvt,7.35267688262129,7.534246412410569,7.247480566617246,9.031736149708705,-0.1956963463545569,-0.30869845021710274,-0.08269424249201107,0.04044610299975767,0.47252446167941564,False
ImpossiblePredicates,whole-program-visibility,7.35267688262129,8.36886471829007,7.521058143676204,7.047151846926052,0.1945370864680145,-0.017415056570233595,0.40648922950626254,0.1788727146334844,0.47252446167941564,False
SingleUseConsts,cgp-branch-opts,7.35267688262129,7.534246412410569,7.108949830903172,8.843430372222905,-0.19392595591945416,-0.32637356449683613,-0.06147834734207219,0.04889166038734686,0.47252446167941564,False
ReferencePropagation,vector-combine,7.35267688262129,7.4759587912875896,7.472408618651738,9.212943098677751,-0.19276403901922667,-0.3012525190255085,-0.08427555901294487,0.031156192488080568,0.47252446167941564,False
ImpossiblePredicates,preinline,7.35267688262129,8.36886471829007,7.428438830297713,6.974992419565726,0.19243826835585565,-0.020851582854468947,0.40572811956618027,0.1823936681429093,0.47252446167941564,False
ImpossiblePredicates,ondemand-mds-loading,7.35267688262129,8.36886471829007,7.404600342653013,6.954343106506836,0.19218889282921592,-0.016485515064249306,0.40086330072268117,0.18262162767465867,0.47252446167941564,False
ReferencePropagation,partial-inlining,7.35267688262129,7.4759587912875896,7.3001892656356295,8.991865003084177,-0.1917920766110539,-0.30903621893363037,-0.07454793428847746,0.04228223316080764,0.47252446167941564,False
ImpossiblePredicates,ifcvt-simple,7.35267688262129,8.36886471829007,7.243965705314195,6.814043525180727,0.19063688862410522,-0.011834516962773378,0.3931082942109838,0.18661214742051413,0.47252446167941564,False
