ConfigName,RunID,LLVM_Pass,MIR_Pass,BinarySize(Bytes),NsPerIter,MBps,TotalRuntime(s),CompileTime(s),Status
EXP_000_ALL_OFF,1,None,All,15791512,7509794.65,2792,6.925931,85.306324,Success
EXP_ABL_001_CopyProp,1,None,CopyProp,15721176,7529001.90,2785,6.738238,85.936157,Success
EXP_ABL_002_DataflowConstProp,1,None,DataflowConstProp,15721160,7686787.45,2728,6.834249,78.576367,Success
EXP_ABL_003_DeadStoreElimination-final,1,None,DeadStoreElimination-final,15723624,7984631.50,2626,7.169105,80.988644,Success
EXP_ABL_004_DeadStoreElimination-initial,1,None,DeadStoreElimination-initial,15721384,8020795.95,2614,7.442502,113.789880,Success
EXP_ABL_005_DestinationPropagation,1,None,DestinationPropagation,15720208,7770254.60,2698,7.279132,98.300469,Success
EXP_ABL_006_EarlyOtherwiseBranch,1,None,EarlyOtherwiseBranch,15721224,7934379.20,2643,7.255037,101.201514,Success
EXP_ABL_007_EnumSizeOpt,1,None,EnumSizeOpt,15721160,7531649.75,2784,7.233893,96.852775,Success
EXP_ABL_008_ForceInline,1,None,ForceInline,15721160,8115438.40,2584,7.467085,99.379028,Success
EXP_ABL_009_GVN,1,None,GVN,15717000,8137977.60,2576,7.398719,96.978048,Success
EXP_ABL_010_ImpossiblePredicates,1,None,ImpossiblePredicates,15721160,8291381.15,2529,7.686169,99.153647,Success
EXP_ABL_011_Inline,1,None,Inline,15792400,7846001.70,2672,7.392327,104.497468,Success
EXP_ABL_012_InstSimplify-after-simplifycfg,1,None,InstSimplify-after-simplifycfg,15719912,8292836.90,2528,7.525138,94.040746,Success
EXP_ABL_013_InstSimplify-before-inline,1,None,InstSimplify-before-inline,15721224,8167011.60,2567,7.708069,98.814281,Success
EXP_ABL_014_JumpThreading,1,None,JumpThreading,15723696,8076754.65,2596,7.486208,117.878738,Success
EXP_ABL_015_MatchBranchSimplification,1,None,MatchBranchSimplification,15723560,7541261.10,2780,7.355245,101.430134,Success
EXP_ABL_016_ReferencePropagation,1,None,ReferencePropagation,15719840,8571757.60,2446,7.768185,98.596511,Success
EXP_ABL_017_ScalarReplacementOfAggregates,1,None,ScalarReplacementOfAggregates,15721040,9170896.25,2286,8.432894,101.099199,Success
EXP_ABL_018_SingleUseConsts,1,None,SingleUseConsts,15721160,8157542.40,2570,7.609829,99.626025,Success
EXP_ABL_019_UnreachableEnumBranching,1,None,UnreachableEnumBranching,15720032,7555087.50,2775,7.097672,106.028318,Success
EXP_ABL_020_UnreachablePropagation,1,None,UnreachablePropagation,15721160,8827700.10,2375,7.723666,94.202227,Success
EXP_000_DEFAULT,1,baseline,N/A,15721160,8654389.90,2423,8.006557,102.980899,Success
EXP_001_DISABLE_ALL,1,All,N/A,15893968,7895730.60,2656,7.467419,95.269480,Success
EXP_ABL_001_disable-binop-extract-shuffle,1,binop-extract-shuffle,N/A,15721176,8157377.80,2570,7.658826,109.683249,Success
EXP_ABL_002_disable-expand-reductions,1,expand-reductions,N/A,15721160,7257898.55,2889,6.732314,96.852965,Success
EXP_ABL_003_disable-interleaved-load-combine,1,interleaved-load-combine,N/A,15721160,7671326.75,2733,7.574390,95.289972,Success
EXP_ABL_004_disable-loop-idiom-vectorize-all,1,loop-idiom-vectorize-all,N/A,15721160,7981545.45,2627,7.624748,101.205833,Success
EXP_ABL_005_disable-loop-idiom-vectorize-bytecmp,1,loop-idiom-vectorize-bytecmp,N/A,15721160,8024573.40,2613,7.397330,100.174472,Success
