ConfigName,Variant,RunID,LLVM_Pass,MIR_Pass,BinarySize(Bytes),TotalRuntime(s),CompileTime(s),IR_alloca,IR_load,IR_store,IR_gep,IR_phi,IR_bb,LLVM_IR_Path,RunRepeats,TargetSeconds,Status
EXP_000_ALL_OFF,S,1,None,All,453736,4.041890,0.092388,15,74,28,69,699,8,/mnt/fjx/Compiler_Experiment/async_state_machine_bench/target/release/deps/async_state_machine_bench-1e9558e04b387829.ll,67,4.000000,Success
EXP_000_ALL_OFF,B,1,None,All,453736,3.287698,0.092388,15,74,28,69,699,8,/mnt/fjx/Compiler_Experiment/async_state_machine_bench/target/release/deps/async_state_machine_bench-1e9558e04b387829.ll,10,4.000000,Success
EXP_000_ALL_OFF,L,1,None,All,453736,3.228409,0.092388,15,74,28,69,699,8,/mnt/fjx/Compiler_Experiment/async_state_machine_bench/target/release/deps/async_state_machine_bench-1e9558e04b387829.ll,14,4.000000,Success
EXP_000_ALL_OFF,S,2,None,All,453736,3.973728,0.152300,15,74,28,69,699,8,/mnt/fjx/Compiler_Experiment/async_state_machine_bench/target/release/deps/async_state_machine_bench-1e9558e04b387829.ll,67,4.000000,Success
EXP_000_ALL_OFF,B,2,None,All,453736,3.749950,0.152300,15,74,28,69,699,8,/mnt/fjx/Compiler_Experiment/async_state_machine_bench/target/release/deps/async_state_machine_bench-1e9558e04b387829.ll,10,4.000000,Success
EXP_000_ALL_OFF,L,2,None,All,453736,3.240393,0.152300,15,74,28,69,699,8,/mnt/fjx/Compiler_Experiment/async_state_machine_bench/target/release/deps/async_state_machine_bench-1e9558e04b387829.ll,14,4.000000,Success
EXP_000_ALL_OFF,S,3,None,All,453736,4.087717,0.122670,15,74,28,69,699,8,/mnt/fjx/Compiler_Experiment/async_state_machine_bench/target/release/deps/async_state_machine_bench-1e9558e04b387829.ll,67,4.000000,Success
EXP_000_ALL_OFF,B,3,None,All,453736,3.142340,0.122670,15,74,28,69,699,8,/mnt/fjx/Compiler_Experiment/async_state_machine_bench/target/release/deps/async_state_machine_bench-1e9558e04b387829.ll,10,4.000000,Success
EXP_000_ALL_OFF,L,3,None,All,453736,2.686420,0.122670,15,74,28,69,699,8,/mnt/fjx/Compiler_Experiment/async_state_machine_bench/target/release/deps/async_state_machine_bench-1e9558e04b387829.ll,14,4.000000,Success
EXP_ABL_001_CopyProp,S,1,None,CopyProp,453752,3.938350,0.198235,15,74,28,69,699,8,/mnt/fjx/Compiler_Experiment/async_state_machine_bench/target/release/deps/async_state_machine_bench-1e9558e04b387829.ll,67,4.000000,Success
EXP_ABL_001_CopyProp,B,1,None,CopyProp,453752,3.162218,0.198235,15,74,28,69,699,8,/mnt/fjx/Compiler_Experiment/async_state_machine_bench/target/release/deps/async_state_machine_bench-1e9558e04b387829.ll,10,4.000000,Success
EXP_ABL_001_CopyProp,L,1,None,CopyProp,453752,2.673008,0.198235,15,74,28,69,699,8,/mnt/fjx/Compiler_Experiment/async_state_machine_bench/target/release/deps/async_state_machine_bench-1e9558e04b387829.ll,14,4.000000,Success
EXP_ABL_001_CopyProp,S,2,None,CopyProp,453752,2.589676,0.136718,15,74,28,69,699,8,/mnt/fjx/Compiler_Experiment/async_state_machine_bench/target/release/deps/async_state_machine_bench-1e9558e04b387829.ll,67,4.000000,Success
EXP_ABL_001_CopyProp,B,2,None,CopyProp,453752,2.845307,0.136718,15,74,28,69,699,8,/mnt/fjx/Compiler_Experiment/async_state_machine_bench/target/release/deps/async_state_machine_bench-1e9558e04b387829.ll,10,4.000000,Success
EXP_ABL_001_CopyProp,L,2,None,CopyProp,453752,2.816882,0.136718,15,74,28,69,699,8,/mnt/fjx/Compiler_Experiment/async_state_machine_bench/target/release/deps/async_state_machine_bench-1e9558e04b387829.ll,14,4.000000,Success
EXP_ABL_001_CopyProp,S,3,None,CopyProp,453752,2.617877,0.109557,15,74,28,69,699,8,/mnt/fjx/Compiler_Experiment/async_state_machine_bench/target/release/deps/async_state_machine_bench-1e9558e04b387829.ll,67,4.000000,Success
EXP_ABL_001_CopyProp,B,3,None,CopyProp,453752,2.782270,0.109557,15,74,28,69,699,8,/mnt/fjx/Compiler_Experiment/async_state_machine_bench/target/release/deps/async_state_machine_bench-1e9558e04b387829.ll,10,4.000000,Success
EXP_ABL_001_CopyProp,L,3,None,CopyProp,453752,2.722562,0.109557,15,74,28,69,699,8,/mnt/fjx/Compiler_Experiment/async_state_machine_bench/target/release/deps/async_state_machine_bench-1e9558e04b387829.ll,14,4.000000,Success
EXP_ABL_002_DataflowConstProp,S,1,None,DataflowConstProp,453752,2.797140,0.872881,15,74,28,69,699,8,/mnt/fjx/Compiler_Experiment/async_state_machine_bench/target/release/deps/async_state_machine_bench-d94d5c0a5f194333.ll,67,4.000000,Success
EXP_ABL_002_DataflowConstProp,B,1,None,DataflowConstProp,453752,2.894508,0.872881,15,74,28,69,699,8,/mnt/fjx/Compiler_Experiment/async_state_machine_bench/target/release/deps/async_state_machine_bench-d94d5c0a5f194333.ll,10,4.000000,Success
EXP_ABL_002_DataflowConstProp,L,1,None,DataflowConstProp,453752,2.749194,0.872881,15,74,28,69,699,8,/mnt/fjx/Compiler_Experiment/async_state_machine_bench/target/release/deps/async_state_machine_bench-d94d5c0a5f194333.ll,14,4.000000,Success
EXP_ABL_002_DataflowConstProp,S,2,None,DataflowConstProp,453752,2.687911,0.125027,15,74,28,69,699,8,/mnt/fjx/Compiler_Experiment/async_state_machine_bench/target/release/deps/async_state_machine_bench-d94d5c0a5f194333.ll,67,4.000000,Success
EXP_ABL_002_DataflowConstProp,B,2,None,DataflowConstProp,453752,3.019384,0.125027,15,74,28,69,699,8,/mnt/fjx/Compiler_Experiment/async_state_machine_bench/target/release/deps/async_state_machine_bench-d94d5c0a5f194333.ll,10,4.000000,Success
EXP_ABL_002_DataflowConstProp,L,2,None,DataflowConstProp,453752,2.678338,0.125027,15,74,28,69,699,8,/mnt/fjx/Compiler_Experiment/async_state_machine_bench/target/release/deps/async_state_machine_bench-d94d5c0a5f194333.ll,14,4.000000,Success
EXP_ABL_002_DataflowConstProp,S,3,None,DataflowConstProp,453752,2.642071,0.121426,15,74,28,69,699,8,/mnt/fjx/Compiler_Experiment/async_state_machine_bench/target/release/deps/async_state_machine_bench-d94d5c0a5f194333.ll,67,4.000000,Success
EXP_ABL_002_DataflowConstProp,B,3,None,DataflowConstProp,453752,2.833379,0.121426,15,74,28,69,699,8,/mnt/fjx/Compiler_Experiment/async_state_machine_bench/target/release/deps/async_state_machine_bench-d94d5c0a5f194333.ll,10,4.000000,Success
EXP_ABL_002_DataflowConstProp,L,3,None,DataflowConstProp,453752,2.851034,0.121426,15,74,28,69,699,8,/mnt/fjx/Compiler_Experiment/async_state_machine_bench/target/release/deps/async_state_machine_bench-d94d5c0a5f194333.ll,14,4.000000,Success
EXP_ABL_003_DeadStoreElimination-final,S,1,None,DeadStoreElimination-final,453720,2.913617,0.995911,15,74,28,69,699,8,/mnt/fjx/Compiler_Experiment/async_state_machine_bench/target/release/deps/async_state_machine_bench-15917c14bd586b04.ll,67,4.000000,Success
EXP_ABL_003_DeadStoreElimination-final,B,1,None,DeadStoreElimination-final,453720,2.967833,0.995911,15,74,28,69,699,8,/mnt/fjx/Compiler_Experiment/async_state_machine_bench/target/release/deps/async_state_machine_bench-15917c14bd586b04.ll,10,4.000000,Success
EXP_ABL_003_DeadStoreElimination-final,L,1,None,DeadStoreElimination-final,453720,2.403042,0.995911,15,74,28,69,699,8,/mnt/fjx/Compiler_Experiment/async_state_machine_bench/target/release/deps/async_state_machine_bench-15917c14bd586b04.ll,14,4.000000,Success
EXP_ABL_003_DeadStoreElimination-final,S,2,None,DeadStoreElimination-final,453720,2.888490,0.128895,15,74,28,69,699,8,/mnt/fjx/Compiler_Experiment/async_state_machine_bench/target/release/deps/async_state_machine_bench-15917c14bd586b04.ll,67,4.000000,Success
EXP_ABL_003_DeadStoreElimination-final,B,2,None,DeadStoreElimination-final,453720,2.950713,0.128895,15,74,28,69,699,8,/mnt/fjx/Compiler_Experiment/async_state_machine_bench/target/release/deps/async_state_machine_bench-15917c14bd586b04.ll,10,4.000000,Success
EXP_ABL_003_DeadStoreElimination-final,L,2,None,DeadStoreElimination-final,453720,2.347496,0.128895,15,74,28,69,699,8,/mnt/fjx/Compiler_Experiment/async_state_machine_bench/target/release/deps/async_state_machine_bench-15917c14bd586b04.ll,14,4.000000,Success
EXP_ABL_003_DeadStoreElimination-final,S,3,None,DeadStoreElimination-final,453720,2.741346,0.112983,15,74,28,69,699,8,/mnt/fjx/Compiler_Experiment/async_state_machine_bench/target/release/deps/async_state_machine_bench-15917c14bd586b04.ll,67,4.000000,Success
EXP_ABL_003_DeadStoreElimination-final,B,3,None,DeadStoreElimination-final,453720,2.887050,0.112983,15,74,28,69,699,8,/mnt/fjx/Compiler_Experiment/async_state_machine_bench/target/release/deps/async_state_machine_bench-15917c14bd586b04.ll,10,4.000000,Success
EXP_ABL_003_DeadStoreElimination-final,L,3,None,DeadStoreElimination-final,453720,2.451756,0.112983,15,74,28,69,699,8,/mnt/fjx/Compiler_Experiment/async_state_machine_bench/target/release/deps/async_state_machine_bench-15917c14bd586b04.ll,14,4.000000,Success
EXP_ABL_004_DeadStoreElimination-initial,S,1,None,DeadStoreElimination-initial,453752,2.965011,1.127271,15,74,28,69,699,8,/mnt/fjx/Compiler_Experiment/async_state_machine_bench/target/release/deps/async_state_machine_bench-19dce1518b8f127b.ll,67,4.000000,Success
EXP_ABL_004_DeadStoreElimination-initial,B,1,None,DeadStoreElimination-initial,453752,2.957476,1.127271,15,74,28,69,699,8,/mnt/fjx/Compiler_Experiment/async_state_machine_bench/target/release/deps/async_state_machine_bench-19dce1518b8f127b.ll,10,4.000000,Success
EXP_ABL_004_DeadStoreElimination-initial,L,1,None,DeadStoreElimination-initial,453752,2.823392,1.127271,15,74,28,69,699,8,/mnt/fjx/Compiler_Experiment/async_state_machine_bench/target/release/deps/async_state_machine_bench-19dce1518b8f127b.ll,14,4.000000,Success
EXP_ABL_004_DeadStoreElimination-initial,S,2,None,DeadStoreElimination-initial,453752,2.737538,0.091734,15,74,28,69,699,8,/mnt/fjx/Compiler_Experiment/async_state_machine_bench/target/release/deps/async_state_machine_bench-19dce1518b8f127b.ll,67,4.000000,Success
