ConfigName,RunID,LLVM_Pass,MIR_Pass,BinarySize(Bytes),TotalRuntime(s),CompileTime(s),Status,MIR_First_File,MIR_Last_File,MIR_BB_First,MIR_BB_Last,MIR_TermBlocks_First,MIR_TermBlocks_Last,MIR_Goto_First,MIR_Goto_Last,MIR_SwitchInt_First,MIR_SwitchInt_Last,LLVM_LL_File,LLVM_BB,LLVM_br,LLVM_switch,ASM_S_File,ASM_JmpLike
EXP_000_ALL_OFF,1,None,All,417160,5.388118,13.638134,Success,cfg_test.workload_b.built.after.mir,cfg_test.workload_b.runtime-optimized.after.mir,80,50,60,33,41,20,11,11,,10,9,0,,11
EXP_000_ALL_OFF,2,None,All,417160,4.657064,14.763266,Success,cfg_test.workload_b.built.after.mir,cfg_test.workload_b.runtime-optimized.after.mir,80,50,60,33,41,20,11,11,,10,9,0,,11
EXP_000_ALL_OFF,3,None,All,417160,5.340780,12.881890,Success,cfg_test.workload_b.built.after.mir,cfg_test.workload_b.runtime-optimized.after.mir,80,50,60,33,41,20,11,11,,10,9,0,,11
EXP_ABL_001_CopyProp,1,None,CopyProp,416960,8.423755,13.765110,Success,cfg_test.workload_b.built.after.mir,cfg_test.workload_b.runtime-optimized.after.mir,80,30,60,26,41,14,11,11,,21,20,0,,18
EXP_ABL_001_CopyProp,2,None,CopyProp,416960,7.572155,13.431375,Success,cfg_test.workload_b.built.after.mir,cfg_test.workload_b.runtime-optimized.after.mir,80,30,60,26,41,14,11,11,,21,20,0,,18
EXP_ABL_001_CopyProp,3,None,CopyProp,416960,8.190474,13.875975,Success,cfg_test.workload_b.built.after.mir,cfg_test.workload_b.runtime-optimized.after.mir,80,30,60,26,41,14,11,11,,21,20,0,,18
EXP_ABL_002_DataflowConstProp,1,None,DataflowConstProp,416960,7.980980,13.940307,Success,cfg_test.workload_b.built.after.mir,cfg_test.workload_b.runtime-optimized.after.mir,80,30,60,26,41,14,11,11,,21,20,0,,18
EXP_ABL_002_DataflowConstProp,2,None,DataflowConstProp,416960,7.981394,14.158046,Success,cfg_test.workload_b.built.after.mir,cfg_test.workload_b.runtime-optimized.after.mir,80,30,60,26,41,14,11,11,,21,20,0,,18
EXP_ABL_002_DataflowConstProp,3,None,DataflowConstProp,416960,7.332312,14.481819,Success,cfg_test.workload_b.built.after.mir,cfg_test.workload_b.runtime-optimized.after.mir,80,30,60,26,41,14,11,11,,21,20,0,,18
EXP_ABL_003_DeadStoreElimination-final,1,None,DeadStoreElimination-final,416960,7.239111,13.852993,Success,cfg_test.workload_b.built.after.mir,cfg_test.workload_b.runtime-optimized.after.mir,80,30,60,26,41,14,11,11,,21,20,0,,18
EXP_ABL_003_DeadStoreElimination-final,2,None,DeadStoreElimination-final,416960,8.318391,14.753192,Success,cfg_test.workload_b.built.after.mir,cfg_test.workload_b.runtime-optimized.after.mir,80,30,60,26,41,14,11,11,,21,20,0,,18
EXP_ABL_003_DeadStoreElimination-final,3,None,DeadStoreElimination-final,416960,8.298576,14.667073,Success,cfg_test.workload_b.built.after.mir,cfg_test.workload_b.runtime-optimized.after.mir,80,30,60,26,41,14,11,11,,21,20,0,,18
