ConfigName,Group,Case,RunID,LLVM_Pass,MIR_Pass,BinarySize(Bytes),NsPerIter,MBps,TotalRuntime(s),CompileTime(s),VectorizeRemarkCount,Vectorized,MIR_BBCount,MIR_LocalCount,LLVMIR_Vectorized,LLVMIR_VectorWidth,Status
EXP_000_ALL_OFF,Matrix,easy_case,1,None,All,493568,875451,9582,5.265074,1.482721,0,,0,0,,0,Success
EXP_000_ALL_OFF,Matrix,mir_dependent_case,1,None,All,493568,798133,10510,4.802610,1.482721,0,,0,0,,0,Success
EXP_000_ALL_OFF,Matrix,easy_case,2,None,All,493568,795431,10545,4.806340,1.522618,0,,0,0,,0,Success
EXP_000_ALL_OFF,Matrix,mir_dependent_case,2,None,All,493568,732654,11449,4.409405,1.522618,0,,0,0,,0,Success
EXP_000_ALL_OFF,Matrix,easy_case,3,None,All,493568,838437,10005,5.045142,1.406268,0,,0,0,,0,Success
EXP_000_ALL_OFF,Matrix,mir_dependent_case,3,None,All,493568,746099,11243,4.491979,1.406268,0,,0,0,,0,Success
EXP_ABL_001_CopyProp,Matrix,easy_case,1,None,CopyProp,493536,739208,11348,4.475484,1.335880,0,,0,0,,0,Success
EXP_ABL_001_CopyProp,Matrix,mir_dependent_case,1,None,CopyProp,493536,703954,11916,4.257441,1.335880,0,,0,0,,0,Success
EXP_ABL_001_CopyProp,Matrix,easy_case,2,None,CopyProp,493536,684062,12262,4.119772,1.920287,0,,0,0,,0,Success
EXP_ABL_001_CopyProp,Matrix,mir_dependent_case,2,None,CopyProp,493536,718210,11679,4.323096,1.920287,0,,0,0,,0,Success
EXP_ABL_001_CopyProp,Matrix,easy_case,3,None,CopyProp,493536,663074,12651,3.994023,1.487906,0,,0,0,,0,Success
EXP_ABL_001_CopyProp,Matrix,mir_dependent_case,3,None,CopyProp,493536,668103,12555,4.021969,1.487906,0,,0,0,,0,Success
EXP_ABL_002_DataflowConstProp,Matrix,easy_case,1,None,DataflowConstProp,493536,668096,12555,4.018454,1.964468,0,,0,0,,0,Success
EXP_ABL_002_DataflowConstProp,Matrix,mir_dependent_case,1,None,DataflowConstProp,493536,716181,11712,4.311333,1.964468,0,,0,0,,0,Success
EXP_ABL_002_DataflowConstProp,Matrix,easy_case,2,None,DataflowConstProp,493536,725537,11561,4.366931,1.262445,0,,0,0,,0,Success
EXP_ABL_002_DataflowConstProp,Matrix,mir_dependent_case,2,None,DataflowConstProp,493536,751959,11155,4.524012,1.262445,0,,0,0,,0,Success
EXP_ABL_002_DataflowConstProp,Matrix,easy_case,3,None,DataflowConstProp,493536,655810,12791,3.949156,1.224479,0,,0,0,,0,Success
EXP_ABL_002_DataflowConstProp,Matrix,mir_dependent_case,3,None,DataflowConstProp,493536,695185,12066,4.187065,1.224479,0,,0,0,,0,Success
EXP_ABL_003_DeadStoreElimination-final,Matrix,easy_case,1,None,DeadStoreElimination-final,493536,679577,12343,4.091582,1.165118,0,,0,0,,0,Success
EXP_ABL_003_DeadStoreElimination-final,Matrix,mir_dependent_case,1,None,DeadStoreElimination-final,493536,755475,11103,4.547602,1.165118,0,,0,0,,0,Success
EXP_ABL_003_DeadStoreElimination-final,Matrix,easy_case,2,None,DeadStoreElimination-final,493536,695452,12062,4.187076,1.272584,0,,0,0,,0,Success
EXP_ABL_003_DeadStoreElimination-final,Matrix,mir_dependent_case,2,None,DeadStoreElimination-final,493536,786173,10670,4.735111,1.272584,0,,0,0,,0,Success
EXP_ABL_003_DeadStoreElimination-final,Matrix,easy_case,3,None,DeadStoreElimination-final,493536,718079,11681,4.319315,1.528435,0,,0,0,,0,Success
EXP_ABL_003_DeadStoreElimination-final,Matrix,mir_dependent_case,3,None,DeadStoreElimination-final,493536,685640,12234,4.150362,1.528435,0,,0,0,,0,Success
EXP_ABL_004_DeadStoreElimination-initial,Matrix,easy_case,1,None,DeadStoreElimination-initial,493536,667707,12563,4.018964,1.237958,0,,0,0,,0,Success
EXP_ABL_004_DeadStoreElimination-initial,Matrix,mir_dependent_case,1,None,DeadStoreElimination-initial,493536,764216,10976,4.600688,1.237958,0,,0,0,,0,Success
EXP_ABL_004_DeadStoreElimination-initial,Matrix,easy_case,2,None,DeadStoreElimination-initial,493536,705647,11887,4.247315,1.390040,0,,0,0,,0,Success
EXP_ABL_004_DeadStoreElimination-initial,Matrix,mir_dependent_case,2,None,DeadStoreElimination-initial,493536,710344,11809,4.276827,1.390040,0,,0,0,,0,Success
EXP_ABL_004_DeadStoreElimination-initial,Matrix,easy_case,3,None,DeadStoreElimination-initial,493536,693504,12095,4.176849,1.447312,0,,0,0,,0,Success
EXP_ABL_004_DeadStoreElimination-initial,Matrix,mir_dependent_case,3,None,DeadStoreElimination-initial,493536,736853,11384,4.438734,1.447312,0,,0,0,,0,Success
EXP_ABL_005_DestinationPropagation,Matrix,easy_case,1,None,DestinationPropagation,493536,710216,11811,4.276195,1.549335,0,,0,0,,0,Success
EXP_ABL_005_DestinationPropagation,Matrix,mir_dependent_case,1,None,DestinationPropagation,493536,704735,11903,4.300047,1.549335,0,,0,0,,0,Success
EXP_ABL_005_DestinationPropagation,Matrix,easy_case,2,None,DestinationPropagation,493536,751122,11168,4.521125,1.348020,0,,0,0,,0,Success
EXP_ABL_005_DestinationPropagation,Matrix,mir_dependent_case,2,None,DestinationPropagation,493536,693679,12092,4.173999,1.348020,0,,0,0,,0,Success
EXP_ABL_005_DestinationPropagation,Matrix,easy_case,3,None,DestinationPropagation,493536,682315,12294,4.107693,1.256705,0,,0,0,,0,Success
EXP_ABL_005_DestinationPropagation,Matrix,mir_dependent_case,3,None,DestinationPropagation,493536,711596,11788,4.298459,1.256705,0,,0,0,,0,Success
EXP_ABL_006_EarlyOtherwiseBranch,Matrix,easy_case,1,None,EarlyOtherwiseBranch,493536,737615,11372,4.442400,1.335087,0,,0,0,,0,Success
EXP_ABL_006_EarlyOtherwiseBranch,Matrix,mir_dependent_case,1,None,EarlyOtherwiseBranch,493536,692536,12112,4.172313,1.335087,0,,0,0,,0,Success
EXP_ABL_006_EarlyOtherwiseBranch,Matrix,easy_case,2,None,EarlyOtherwiseBranch,493536,723813,11589,4.358054,1.259292,0,,0,0,,0,Success
EXP_ABL_006_EarlyOtherwiseBranch,Matrix,mir_dependent_case,2,None,EarlyOtherwiseBranch,493536,761042,11022,4.579575,1.259292,0,,0,0,,0,Success
EXP_ABL_006_EarlyOtherwiseBranch,Matrix,easy_case,3,None,EarlyOtherwiseBranch,493536,722547,11609,4.365022,1.657808,0,,0,0,,0,Success
EXP_ABL_006_EarlyOtherwiseBranch,Matrix,mir_dependent_case,3,None,EarlyOtherwiseBranch,493536,669654,12526,4.061102,1.657808,0,,0,0,,0,Success
EXP_ABL_007_EnumSizeOpt,Matrix,easy_case,1,None,EnumSizeOpt,493536,698143,12015,4.205629,1.248970,0,,0,0,,0,Success
EXP_ABL_007_EnumSizeOpt,Matrix,mir_dependent_case,1,None,EnumSizeOpt,493536,801978,10459,4.828037,1.248970,0,,0,0,,0,Success
EXP_ABL_007_EnumSizeOpt,Matrix,easy_case,2,None,EnumSizeOpt,493536,719500,11658,4.331770,1.584847,0,,0,0,,0,Success
EXP_ABL_007_EnumSizeOpt,Matrix,mir_dependent_case,2,None,EnumSizeOpt,493536,658084,12747,3.962880,1.584847,0,,0,0,,0,Success
EXP_ABL_007_EnumSizeOpt,Matrix,easy_case,3,None,EnumSizeOpt,493536,678867,12356,4.087458,1.446993,0,,0,0,,0,Success
EXP_ABL_007_EnumSizeOpt,Matrix,mir_dependent_case,3,None,EnumSizeOpt,493536,811029,10343,4.882920,1.446993,0,,0,0,,0,Success
EXP_ABL_008_ForceInline,Matrix,easy_case,1,None,ForceInline,493536,706125,11879,4.249902,1.373624,0,,0,0,,0,Success
EXP_ABL_008_ForceInline,Matrix,mir_dependent_case,1,None,ForceInline,493536,682175,12296,4.113913,1.373624,0,,0,0,,0,Success
EXP_ABL_008_ForceInline,Matrix,easy_case,2,None,ForceInline,493536,748863,11201,4.509309,1.621308,0,,0,0,,0,Success
EXP_ABL_008_ForceInline,Matrix,mir_dependent_case,2,None,ForceInline,493536,776240,10806,4.671535,1.621308,0,,0,0,,0,Success
EXP_ABL_008_ForceInline,Matrix,easy_case,3,None,ForceInline,493536,722719,11607,4.357796,1.207585,0,,0,0,,0,Success
EXP_ABL_008_ForceInline,Matrix,mir_dependent_case,3,None,ForceInline,493536,733593,11434,4.415127,1.207585,0,,0,0,,0,Success
EXP_ABL_009_GVN,Matrix,easy_case,1,None,GVN,493536,660255,12705,3.976606,1.451600,0,,0,0,,0,Success
EXP_ABL_009_GVN,Matrix,mir_dependent_case,1,None,GVN,493536,856697,9791,5.154146,1.451600,0,,0,0,,0,Success
EXP_ABL_009_GVN,Matrix,easy_case,2,None,GVN,493536,793391,10573,4.773655,1.282431,0,,0,0,,0,Success
EXP_ABL_009_GVN,Matrix,mir_dependent_case,2,None,GVN,493536,685431,12238,4.124787,1.282431,0,,0,0,,0,Success
EXP_ABL_009_GVN,Matrix,easy_case,3,None,GVN,493536,734513,11420,4.422228,1.438859,0,,0,0,,0,Success
EXP_ABL_009_GVN,Matrix,mir_dependent_case,3,None,GVN,493536,717748,11687,4.369443,1.438859,0,,0,0,,0,Success
EXP_ABL_010_ImpossiblePredicates,Matrix,easy_case,1,None,ImpossiblePredicates,493536,749810,11187,4.516315,1.466139,0,,0,0,,0,Success
EXP_ABL_010_ImpossiblePredicates,Matrix,mir_dependent_case,1,None,ImpossiblePredicates,493536,728311,11517,4.382425,1.466139,0,,0,0,,0,Success
EXP_ABL_010_ImpossiblePredicates,Matrix,easy_case,2,None,ImpossiblePredicates,493536,694825,12072,4.197754,1.489070,0,,0,0,,0,Success
EXP_ABL_010_ImpossiblePredicates,Matrix,mir_dependent_case,2,None,ImpossiblePredicates,493536,694792,12073,4.180951,1.489070,0,,0,0,,0,Success
EXP_ABL_010_ImpossiblePredicates,Matrix,easy_case,3,None,ImpossiblePredicates,493536,733373,11438,4.415479,1.412331,0,,0,0,,0,Success
EXP_ABL_010_ImpossiblePredicates,Matrix,mir_dependent_case,3,None,ImpossiblePredicates,493536,739156,11348,4.451325,1.412331,0,,0,0,,0,Success
EXP_ABL_011_Inline,Matrix,easy_case,1,None,Inline,493568,687045,12209,4.140419,1.487316,0,,0,0,,0,Success
EXP_ABL_011_Inline,Matrix,mir_dependent_case,1,None,Inline,493568,740586,11326,4.455950,1.487316,0,,0,0,,0,Success
EXP_ABL_011_Inline,Matrix,easy_case,2,None,Inline,493568,677404,12383,4.080177,1.464463,0,,0,0,,0,Success
EXP_ABL_011_Inline,Matrix,mir_dependent_case,2,None,Inline,493568,722808,11605,4.350780,1.464463,0,,0,0,,0,Success
EXP_ABL_011_Inline,Matrix,easy_case,3,None,Inline,493568,811715,10334,4.885059,1.337994,0,,0,0,,0,Success
EXP_ABL_011_Inline,Matrix,mir_dependent_case,3,None,Inline,493568,716575,11706,4.314177,1.337994,0,,0,0,,0,Success
EXP_ABL_012_InstSimplify-after-simplifycfg,Matrix,easy_case,1,None,InstSimplify-after-simplifycfg,493536,715846,11718,4.308862,1.435102,0,,0,0,,0,Success
EXP_ABL_012_InstSimplify-after-simplifycfg,Matrix,mir_dependent_case,1,None,InstSimplify-after-simplifycfg,493536,674068,12444,4.055497,1.435102,0,,0,0,,0,Success
EXP_ABL_012_InstSimplify-after-simplifycfg,Matrix,easy_case,2,None,InstSimplify-after-simplifycfg,493536,774803,10826,4.669766,1.452010,0,,0,0,,0,Success
EXP_ABL_012_InstSimplify-after-simplifycfg,Matrix,mir_dependent_case,2,None,InstSimplify-after-simplifycfg,493536,663381,12645,3.992675,1.452010,0,,0,0,,0,Success
EXP_ABL_012_InstSimplify-after-simplifycfg,Matrix,easy_case,3,None,InstSimplify-after-simplifycfg,493536,750554,11176,4.517198,1.472111,0,,0,0,,0,Success
EXP_ABL_012_InstSimplify-after-simplifycfg,Matrix,mir_dependent_case,3,None,InstSimplify-after-simplifycfg,493536,753699,11129,4.536294,1.472111,0,,0,0,,0,Success
EXP_ABL_013_InstSimplify-before-inline,Matrix,easy_case,1,None,InstSimplify-before-inline,493536,709272,11827,4.288457,1.915077,0,,0,0,,0,Success
EXP_ABL_013_InstSimplify-before-inline,Matrix,mir_dependent_case,1,None,InstSimplify-before-inline,493536,673265,12459,4.053571,1.915077,0,,0,0,,0,Success
EXP_ABL_013_InstSimplify-before-inline,Matrix,easy_case,2,None,InstSimplify-before-inline,493536,674464,12437,4.071030,1.358149,0,,0,0,,0,Success
EXP_ABL_013_InstSimplify-before-inline,Matrix,mir_dependent_case,2,None,InstSimplify-before-inline,493536,670600,12509,4.036179,1.358149,0,,0,0,,0,Success
EXP_ABL_013_InstSimplify-before-inline,Matrix,easy_case,3,None,InstSimplify-before-inline,493536,745060,11258,4.483536,1.462273,0,,0,0,,0,Success
EXP_ABL_013_InstSimplify-before-inline,Matrix,mir_dependent_case,3,None,InstSimplify-before-inline,493536,724896,11572,4.362833,1.462273,0,,0,0,,0,Success
EXP_ABL_014_JumpThreading,Matrix,easy_case,1,None,JumpThreading,493504,756832,11083,4.555960,1.646516,0,,0,0,,0,Success
EXP_ABL_014_JumpThreading,Matrix,mir_dependent_case,1,None,JumpThreading,493504,696120,12050,4.190518,1.646516,0,,0,0,,0,Success
EXP_ABL_014_JumpThreading,Matrix,easy_case,2,None,JumpThreading,493504,713226,11761,4.306920,1.308169,0,,0,0,,0,Success
EXP_ABL_014_JumpThreading,Matrix,mir_dependent_case,2,None,JumpThreading,493504,659668,12716,4.021787,1.308169,0,,0,0,,0,Success
EXP_ABL_014_JumpThreading,Matrix,easy_case,3,None,JumpThreading,493504,755072,11109,4.562933,1.468862,0,,0,0,,0,Success
EXP_ABL_014_JumpThreading,Matrix,mir_dependent_case,3,None,JumpThreading,493504,718410,11676,4.322602,1.468862,0,,0,0,,0,Success
EXP_ABL_015_MatchBranchSimplification,Matrix,easy_case,1,None,MatchBranchSimplification,493536,794147,10563,4.775625,1.627396,0,,0,0,,0,Success
EXP_ABL_015_MatchBranchSimplification,Matrix,mir_dependent_case,1,None,MatchBranchSimplification,493536,817283,10264,4.918813,1.627396,0,,0,0,,0,Success
EXP_ABL_015_MatchBranchSimplification,Matrix,easy_case,2,None,MatchBranchSimplification,493536,689277,12170,4.148439,1.384889,0,,0,0,,0,Success
EXP_ABL_015_MatchBranchSimplification,Matrix,mir_dependent_case,2,None,MatchBranchSimplification,493536,712751,11769,4.289180,1.384889,0,,0,0,,0,Success
EXP_ABL_015_MatchBranchSimplification,Matrix,easy_case,3,None,MatchBranchSimplification,493536,709901,11816,4.273714,1.236389,0,,0,0,,0,Success
EXP_ABL_015_MatchBranchSimplification,Matrix,mir_dependent_case,3,None,MatchBranchSimplification,493536,679638,12342,4.090854,1.236389,0,,0,0,,0,Success
EXP_ABL_016_ReferencePropagation,Matrix,easy_case,1,None,ReferencePropagation,493536,728514,11514,4.393451,1.580067,0,,0,0,,0,Success
EXP_ABL_016_ReferencePropagation,Matrix,mir_dependent_case,1,None,ReferencePropagation,493536,737467,11374,4.440043,1.580067,0,,0,0,,0,Success
EXP_ABL_016_ReferencePropagation,Matrix,easy_case,2,None,ReferencePropagation,493536,705617,11888,4.261261,1.248686,0,,0,0,,0,Success
EXP_ABL_016_ReferencePropagation,Matrix,mir_dependent_case,2,None,ReferencePropagation,493536,682247,12295,4.106190,1.248686,0,,0,0,,0,Success
EXP_ABL_016_ReferencePropagation,Matrix,easy_case,3,None,ReferencePropagation,493536,690008,12157,4.153861,1.500619,0,,0,0,,0,Success
EXP_ABL_016_ReferencePropagation,Matrix,mir_dependent_case,3,None,ReferencePropagation,493536,818590,10247,4.928335,1.500619,0,,0,0,,0,Success
EXP_ABL_017_ScalarReplacementOfAggregates,Matrix,easy_case,1,None,ScalarReplacementOfAggregates,493536,723664,11591,4.356865,1.256555,0,,0,0,,0,Success
EXP_ABL_017_ScalarReplacementOfAggregates,Matrix,mir_dependent_case,1,None,ScalarReplacementOfAggregates,493536,709122,11829,4.269855,1.256555,0,,0,0,,0,Success
EXP_ABL_017_ScalarReplacementOfAggregates,Matrix,easy_case,2,None,ScalarReplacementOfAggregates,493536,783700,10703,4.715936,1.554057,0,,0,0,,0,Success
