PassType,PassName,Criterion,TopCount,TopWeight,TopShare,BaseCount,BaseShare,Lift,Cover,Experiments
LLVM,lsr,Fastest TotalRuntime(s),3,25,0.060000,312,0.012049,4.979615,1,ripgrep
LLVM,machine-sink,Fastest TotalRuntime(s),2,12,0.040000,310,0.011972,3.341161,1,serde_test
LLVM,last-run-tracking,Fastest TotalRuntime(s),2,17,0.040000,311,0.012011,3.330418,2,regex;tokio
LLVM,early-ifcvt,Fastest TotalRuntime(s),2,11,0.040000,312,0.012049,3.319744,2,hyper;regex
LLVM,ifcvt-diamond,Fastest TotalRuntime(s),2,7,0.040000,312,0.012049,3.319744,2,regex;tokio
LLVM,promote-alloca-to-vector,Fastest TotalRuntime(s),2,12,0.040000,312,0.012049,3.319744,2,ripgrep;serde_test
LLVM,replace-with-vec-lib,Fastest TotalRuntime(s),2,12,0.040000,312,0.012049,3.319744,2,regex;serde_test
LLVM,machine-dce,Fastest TotalRuntime(s),1,8,0.020000,186,0.007183,2.784301,1,regex
LLVM,lftr,Fastest TotalRuntime(s),1,2,0.020000,310,0.011972,1.670581,1,hyper
LLVM,thinlto-funcattrs,Fastest TotalRuntime(s),1,1,0.020000,310,0.011972,1.670581,1,ripgrep
LLVM,branch-fold,Fastest TotalRuntime(s),1,7,0.020000,311,0.012011,1.665209,1,serde_test
LLVM,demotion,Fastest TotalRuntime(s),1,1,0.020000,311,0.012011,1.665209,1,regex
LLVM,early-taildup,Fastest TotalRuntime(s),1,10,0.020000,311,0.012011,1.665209,1,hyper
LLVM,ifcvt-forked-diamond,Fastest TotalRuntime(s),1,1,0.020000,311,0.012011,1.665209,1,hyper
LLVM,interleaved-load-combine,Fastest TotalRuntime(s),1,9,0.020000,311,0.012011,1.665209,1,ripgrep
LLVM,licm-promotion,Fastest TotalRuntime(s),1,6,0.020000,311,0.012011,1.665209,1,serde_test
LLVM,machine-licm,Fastest TotalRuntime(s),1,5,0.020000,311,0.012011,1.665209,1,hyper
LLVM,mr-partial-inlining,Fastest TotalRuntime(s),1,3,0.020000,311,0.012011,1.665209,1,tokio
LLVM,preinline,Fastest TotalRuntime(s),1,9,0.020000,311,0.012011,1.665209,1,regex
LLVM,auto-upgrade-debug-info,Fastest TotalRuntime(s),1,2,0.020000,312,0.012049,1.659872,1,tokio
LLVM,block-placement,Fastest TotalRuntime(s),1,5,0.020000,312,0.012049,1.659872,1,serde_test
LLVM,cgp-delete-phis,Fastest TotalRuntime(s),1,7,0.020000,312,0.012049,1.659872,1,regex
