mir_pass,llvm_pass,y00_mean,y10_mean,y01_mean,y11_mean,y_pred_mean,ratio_y11_over_pred,ratio_y11_over_base,ratio_pred_over_base,delta,ci_low,ci_high,p_value,p_adj,significant,pattern,pattern_cn
DeadStoreElimination-initial,lftr,13.910933029225575,8.58137778244591,8.67654948427037,44.90327941060993,5.352390728658069,8.389387413401321,3.227912844973973,0.3847614475185233,-2.126967503916131,-2.5495074993704403,-1.704427508461822,0.0,0.0,True,collapse_interference,崩塌型负交互（单独改进，联合反而更差）
DeadStoreElimination-initial,advanced-peeling,13.910933029225575,8.58137778244591,8.882646671192484,44.24351091206863,5.47952798229608,8.074328857342438,3.1804847898496194,0.3939008239622822,-2.088689752012787,-2.4962101665123977,-1.6811693375131769,0.0,0.0,True,collapse_interference,崩塌型负交互（单独改进，联合反而更差）
ForceInline,last-run-tracking,13.910933029225575,8.581936297626852,8.829790563863092,42.81785648130079,5.447276611946873,7.860415310541308,3.078000331921982,0.3915824050408878,-2.061839443536472,-2.4628086500639204,-1.6608702370090236,0.0,0.0,True,collapse_interference,崩塌型负交互（单独改进，联合反而更差）
ForceInline,ra-fsprofile-loader,13.910933029225575,8.581936297626852,9.162723724123492,43.427470900085204,5.652669820779063,7.682647718153816,3.121823015670346,0.40634728158803796,-2.038964242713187,-2.4404924331607156,-1.6374360522656581,0.0,0.0,True,collapse_interference,崩塌型负交互（单独改进，联合反而更差）
ForceInline,nounwind-inference,13.910933029225575,8.581936297626852,8.955219789010709,41.47607209734614,5.524656441022038,7.507448207887701,2.981544948150406,0.39714492402596213,-2.0158956221352953,-2.4330707530135407,-1.5987204912570498,0.0,0.0,True,collapse_interference,崩塌型负交互（单独改进，联合反而更差）
ForceInline,promote-alloca-to-vector,13.910933029225575,8.581936297626852,8.57309355787084,39.60121913562513,5.288915030549791,7.487588457534459,2.846769447629908,0.38019843956104693,-2.013246777399757,-2.4203023707173035,-1.6061911840822107,0.0,0.0,True,collapse_interference,崩塌型负交互（单独改进，联合反而更差）
DeadStoreElimination-initial,nofree-inference,13.910933029225575,8.58137778244591,8.89841079921425,40.93882524518928,5.489252559194079,7.457996294344277,2.9429244723686483,0.3945998839662063,-2.0092867848866045,-2.41367544963067,-1.604898120142539,0.0,0.0,True,collapse_interference,崩塌型负交互（单独改进，联合反而更差）
DeadStoreElimination-initial,lsr,13.910933029225575,8.58137778244591,9.026266901172004,41.26873898974838,5.568124444378583,7.411605003083597,2.966640620226307,0.40026966075391723,-2.003047015460111,-2.3967300819064508,-1.6093639490137712,0.0,0.0,True,collapse_interference,崩塌型负交互（单独改进，联合反而更差）
DeadStoreElimination-initial,nounwind-inference,13.910933029225575,8.58137778244591,8.955219789010709,40.55365470967896,5.524296894599787,7.3409622044973215,2.915236140126583,0.3971190777062727,-1.9934699245657819,-2.391520603459986,-1.5954192456715781,0.0,0.0,True,collapse_interference,崩塌型负交互（单独改进，联合反而更差）
DeadStoreElimination-initial,layout-fsprofile-loader,13.910933029225575,8.58137778244591,9.300157576444928,42.10945401456376,5.737082152008135,7.339872935203535,3.027076180015799,0.4124153383497038,-1.9933215311964099,-2.402117919491161,-1.584525142901659,0.0,0.0,True,collapse_interference,崩塌型负交互（单独改进，联合反而更差）
DeadStoreElimination-initial,interleaved-load-combine,13.910933029225575,8.58137778244591,9.225008993777667,41.653960243620084,5.690724486686313,7.319623422478326,2.9943325984036435,0.4090828756583495,-1.990558881633258,-2.3836988054300177,-1.5974189578364981,0.0,0.0,True,collapse_interference,崩塌型负交互（单独改进，联合反而更差）
DeadStoreElimination-initial,loop-level-heuristics,13.910933029225575,8.58137778244591,9.395879850213671,41.817433434332855,5.796131317989925,7.214714632938126,3.006084016541401,0.4166601410425018,-1.9761226395293092,-2.392419763507899,-1.5598255155507192,0.0,0.0,True,collapse_interference,崩塌型负交互（单独改进，联合反而更差）
ForceInline,loop-idiom-vectorize-all,13.910933029225575,8.581936297626852,9.316961119385187,41.31716707606352,5.747821993395155,7.1883170918551835,2.9701219170029787,0.4131873815594911,-1.9724570820071898,-2.3665066988550714,-1.578407465159308,0.0,0.0,True,collapse_interference,崩塌型负交互（单独改进，联合反而更差）
ForceInline,interleaved-load-combine,13.910933029225575,8.581936297626852,9.225008993777667,40.63347534602754,5.691094864974851,7.139834480022693,2.9209741187496476,0.40910950063654183,-1.965689594013134,-2.359562265249322,-1.571816922776946,0.0,0.0,True,collapse_interference,崩塌型负交互（单独改进，联合反而更差）
