mir_pass,llvm_pass,y00_mean,y10_mean,y01_mean,y11_mean,delta,ci_low,ci_high,p_value,p_adj,significant
MatchBranchSimplification,adv-copy-opt,9.462281084951702,9.549000944821508,9.612349104715705,11.525663409749788,-0.1724044605761308,-0.1908302499226153,-0.1539786712296462,0.0029413811144618,0.0501582884781909,False
UnreachablePropagation,strictnode-mutation,9.462281084951702,9.764474193807748,9.493305331637998,11.389253134092144,-0.1506461215875103,-0.194509223305704,-0.1067830198693166,0.0031064893270202,0.0524220073934674,False
UnreachablePropagation,post-ra,9.462281084951702,9.764474193807748,9.428648309211397,11.278554337445737,-0.1477130959429948,-0.1861210706991257,-0.109305121186864,0.0031605436697525,0.0524992655001481,False
UnreachablePropagation,peephole,9.462281084951702,9.764474193807748,9.478626808300172,11.320620893625748,-0.146149232806855,-0.1851603772100198,-0.1071380884036901,0.0031888793178942,0.0524992655001481,False
UnreachablePropagation,copyprop,9.462281084951702,9.764474193807748,9.60540454167665,11.615416155310028,-0.1585700481578853,-0.1944782292287412,-0.1226618670870294,0.0032082884472312,0.0524992655001481,False
UnreachablePropagation,vp,9.462281084951702,9.764474193807748,9.563637531720428,11.469057091096484,-0.150247338194029,-0.1866624933550159,-0.113832183033042,0.0035487799465028,0.0574902351333458,False
UnreachablePropagation,layout-fsprofile-loader,9.462281084951702,9.764474193807748,9.450329638671986,11.469560151758683,-0.1622097260044723,-0.1969188569863371,-0.1275005950226076,0.0036581972609935,0.0586753910523501,False
MatchBranchSimplification,machine-cse,9.462281084951702,9.549000944821508,9.43268959395402,11.231041481753726,-0.1653771803216619,-0.2067900419562943,-0.1239643186870295,0.0036943764736664,0.0586753910523501,False
ScalarReplacementOfAggregates,loop-level-heuristics,9.462281084951702,9.406720888213297,9.512191734770354,11.25547298138342,-0.1741692428395955,-0.2158231895369245,-0.1325152961422666,0.0037489501751359,0.0589640707157311,False
UnreachablePropagation,phi-elim-edge-splitting,9.462281084951702,9.764474193807748,9.59366377019003,11.368741502497327,-0.1383275258221439,-0.1773701161639989,-0.0992849354802888,0.0038489268753372,0.0599544378658295,False
UnreachablePropagation,spill-fusing,9.462281084951702,9.764474193807748,9.47369809740435,11.538152420075503,-0.1657025750614851,-0.1995322456501033,-0.1318729044728669,0.0041226459712768,0.0634264825191542,False
UnreachablePropagation,last-run-tracking,9.462281084951702,9.764474193807748,9.516555775141462,11.45760600152213,-0.1541835606620925,-0.1890002599226184,-0.1193668614015665,0.0041501278685372,0.0634264825191542,False
MatchBranchSimplification,sample-loader-inlining,9.462281084951702,9.549000944821508,9.550141257295213,11.222124498302954,-0.1522082332436785,-0.1927425244365853,-0.1116739420507716,0.0042793757579858,0.0647905488592246,False
UnreachablePropagation,nounwind-inference,9.462281084951702,9.764474193807748,9.56778635162824,11.402261534109964,-0.1439726150276863,-0.1796772765564688,-0.1082679534989038,0.0044273148870426,0.0664097233056393,False
EnumSizeOpt,loop-level-heuristics,9.462281084951702,9.56958400907856,9.512191734770354,12.013986281078374,-0.2222209253750056,-0.2721498663122895,-0.1722919844377217,0.0044942629096006,0.0667954670968167,False
UnreachablePropagation,non-allocatable-phys-copy-opt,9.462281084951702,9.764474193807748,9.513673510704413,11.22892841758895,-0.1343260286960887,-0.1715953151391907,-0.0970567422529868,0.0046642913099573,0.0686922902011895,False
ScalarReplacementOfAggregates,interleaved-load-combine,9.462281084951702,9.406720888213297,9.678735705153342,11.28136650234791,-0.1591101603538427,-0.2008087103706122,-0.1174116103370732,0.0049503416630978,0.0717770767201293,False
UnreachablePropagation,cfi-fixup,9.462281084951702,9.764474193807748,9.701184224886804,11.502371277001664,-0.1388680156215973,-0.1745299628790953,-0.1032060683640993,0.0049623657979348,0.0717770767201293,False
UnreachablePropagation,sample-loader-inlining,9.462281084951702,9.764474193807748,9.550141257295213,11.44900689264082,-0.1499098128539522,-0.1840338957338267,-0.1157857299740777,0.0050972225657915,0.0730752261644448,False
ReferencePropagation,bitcode-version-upgrade,9.462281084951702,9.563583898942904,9.782815566812673,11.844215255123796,-0.1805631932302747,-0.2315689121530847,-0.1295574743074647,0.0056973554465515,0.0809624195036277,False
ReferencePropagation,global-outlining,9.462281084951702,9.563583898942904,9.410945000208988,11.603202529071991,-0.1987587082907249,-0.2535036506632778,-0.144013765918172,0.0061372809151018,0.0864556094127386,False
ReferencePropagation,select-optimize,9.462281084951702,9.563583898942904,9.523052501529726,11.502734694042456,-0.1782203101014183,-0.2297343486739917,-0.1267062715288449,0.0062323942088719,0.0870386087790735,False
