mir_pass,llvm_pass,y00_mean,y10_mean,y01_mean,y11_mean,delta,ci_low,ci_high,p_value,p_adj,significant
EarlyOtherwiseBranch,post-ra,9.462281084951702,9.522136532605941,9.428648309211397,12.113397898286982,-0.24425359158053928,-0.272882310246991,-0.21562487291408758,0.00012070791914232739,0.021229299467236437,True
EarlyOtherwiseBranch,peephole,9.462281084951702,9.522136532605941,9.478626808300172,12.16270513112972,-0.24302909307565823,-0.27224824965240746,-0.213809936498909,0.00013538084614212205,0.021229299467236437,True
ScalarReplacementOfAggregates,block-placement,9.462281084951702,9.406720888213297,9.498200018496533,11.792365372168094,-0.2222390723820915,-0.25239717388174315,-0.19208097088243986,0.00023447382092222328,0.021229299467236437,True
EnumSizeOpt,lftr,9.462281084951702,9.56958400907856,9.377584979750694,11.74857839228472,-0.21413372754685556,-0.23591463557304843,-0.1923528195206627,0.0002235995820414951,0.021229299467236437,True
ReferencePropagation,preinline,9.462281084951702,9.563583898942904,9.550979626049914,11.945990959434138,-0.21310295149404812,-0.24507954318934128,-0.18112635979875497,0.0003108368139972258,0.021229299467236437,True
EarlyOtherwiseBranch,strictnode-mutation,9.462281084951702,9.522136532605941,9.493305331637998,11.821898627520689,-0.21306101337665106,-0.24079834636414674,-0.1853236803891554,0.0001824063869147631,0.021229299467236437,True
ReferencePropagation,layout-fsprofile-loader,9.462281084951702,9.563583898942904,9.450329638671986,11.795963015707699,-0.2110586741728322,-0.2399686597344537,-0.1821486886112107,0.0003820797536913461,0.021229299467236437,True
ReferencePropagation,cgdata-for-merging,9.462281084951702,9.563583898942904,9.42593622726924,11.679203028971559,-0.2036956202381366,-0.23500872107311255,-0.17238251940316063,0.00036773108202358925,0.021229299467236437,True
ReferencePropagation,last-run-tracking,9.462281084951702,9.563583898942904,9.516555775141462,11.778138657098673,-0.20256310383290188,-0.22997519190980775,-0.175151015755996,0.0005808226302081555,0.021229299467236437,True
ReferencePropagation,post-ra,9.462281084951702,9.563583898942904,9.428648309211397,11.6443700939474,-0.2004210043694563,-0.23122462632183152,-0.1696173824170811,0.0003945381078557893,0.021229299467236437,True
ReferencePropagation,whole-program-visibility,9.462281084951702,9.563583898942904,9.500239518227696,11.720321573436026,-0.19935815289127623,-0.23410706836670875,-0.1646092374158437,0.0004875025786819648,0.021229299467236437,True
ReferencePropagation,vp,9.462281084951702,9.563583898942904,9.563637531720428,11.7982912626658,-0.19933750493995772,-0.23104681351225526,-0.1676281963676602,0.0003998899876356688,0.021229299467236437,True
EnumSizeOpt,binop-extract-shuffle,9.462281084951702,9.56958400907856,9.446975658417044,11.65379795634065,-0.19866122477297932,-0.22756134305272524,-0.1697611064932334,0.00028455998383375213,0.021229299467236437,True
MatchBranchSimplification,icp,9.462281084951702,9.549000944821508,9.430989126647452,11.60001673041311,-0.1978825053362092,-0.223169736890318,-0.17259527378210043,0.00024364986417745388,0.021229299467236437,True
ReferencePropagation,ondemand-mds-loading,9.462281084951702,9.563583898942904,9.478660645110793,11.668732198548271,-0.19722072046210348,-0.23100558651726144,-0.16343585440694552,0.000463433553999303,0.021229299467236437,True
ReferencePropagation,dfa-sched,9.462281084951702,9.563583898942904,9.41500398456046,11.577660656687964,-0.1961237924297783,-0.22676498107144305,-0.16548260378811352,0.00043025905442837365,0.021229299467236437,True
ScalarReplacementOfAggregates,cgp-select2branch,9.462281084951702,9.406720888213297,9.439664384239878,11.410384417912532,-0.19549248919644802,-0.217925085325625,-0.17305989306727104,0.0002458791109037208,0.021229299467236437,True
EnumSizeOpt,expand-reductions,9.462281084951702,9.56958400907856,9.412826077372003,11.57226851457172,-0.1952621023115615,-0.22574562401002252,-0.16477858061310047,0.00039800550771782524,0.021229299467236437,True
ReferencePropagation,cgp-store-extract,9.462281084951702,9.563583898942904,9.442595465587367,11.597385120923024,-0.19489970818132107,-0.2230401986736527,-0.16675921768898944,0.0005704488772636943,0.021229299467236437,True
MatchBranchSimplification,global-outlining,9.462281084951702,9.549000944821508,9.410945000208988,11.4977413100894,-0.19115418217504176,-0.22369138471703287,-0.15861697963305066,0.0005480550033700693,0.021229299467236437,True
MatchBranchSimplification,gep-const-evaluation,9.462281084951702,9.549000944821508,9.559444213115372,11.67542018397382,-0.1908331518710673,-0.2171910303103531,-0.1644752734317815,0.00027048358521453874,0.021229299467236437,True
ReferencePropagation,nounwind-inference,9.462281084951702,9.563583898942904,9.567786351628241,11.691902987506642,-0.18984562423243156,-0.21831269183860894,-0.1613785566262542,0.0005918736973602587,0.021229299467236437,True
