Source,Target,Type,Weight,Stability
InstSimplify-before-inline,layout-fsprofile-loader,Interaction,0.6572156464320876,0.3333333333333333
MatchBranchSimplification,separate-const-offset-from-gep,Interaction,0.6270046359425456,0.3333333333333333
UnreachablePropagation,chr,Interaction,-1.530123240000654,0.5
InstSimplify-after-simplifycfg,tail-duplicate,Interaction,-1.113767957211683,0.5
EarlyOtherwiseBranch,post-ra,Interaction,-0.2442535915805392,1.0
EarlyOtherwiseBranch,peephole,Interaction,-0.2430290930756582,1.0
EarlyOtherwiseBranch,spill-fusing,Interaction,-0.23713549866308,1.0
ScalarReplacementOfAggregates,block-placement,Interaction,-0.2222390723820915,1.0
EnumSizeOpt,loop-level-heuristics,Interaction,-0.2222209253750056,0.5
ReferencePropagation,non-allocatable-phys-copy-opt,Interaction,-0.2168573910900701,1.0
EnumSizeOpt,lftr,Interaction,-0.2141337275468555,1.0
ReferencePropagation,preinline,Interaction,-0.2131029514940481,1.0
EarlyOtherwiseBranch,strictnode-mutation,Interaction,-0.213061013376651,1.0
EarlyOtherwiseBranch,partial-inlining,Interaction,-0.2127861640392487,0.5
EarlyOtherwiseBranch,partial-libcall-inlining,Interaction,-0.2127546939058979,0.5
ReferencePropagation,layout-fsprofile-loader,Interaction,-0.2110586741728322,1.0
EnumSizeOpt,vector-combine,Interaction,-0.2078580963525369,0.5
ReferencePropagation,mr-partial-inlining,Interaction,-0.2059860075321302,1.0
ReferencePropagation,cgdata-for-merging,Interaction,-0.2036956202381366,1.0
ReferencePropagation,last-run-tracking,Interaction,-0.2025631038329018,1.0
ReferencePropagation,post-ra,Interaction,-0.2004210043694563,1.0
ReferencePropagation,whole-program-visibility,Interaction,-0.1993581528912762,1.0
ReferencePropagation,vp,Interaction,-0.1993375049399577,1.0
ReferencePropagation,partial-libcall-inlining,Interaction,-0.1987820591922005,1.0
ReferencePropagation,global-outlining,Interaction,-0.1987587082907249,0.5
EnumSizeOpt,binop-extract-shuffle,Interaction,-0.1986612247729793,1.0
MatchBranchSimplification,icp,Interaction,-0.1978825053362092,1.0
ReferencePropagation,ondemand-mds-loading,Interaction,-0.1972207204621034,1.0
ScalarReplacementOfAggregates,chr,Interaction,-0.19645202034304,1.0
ReferencePropagation,dfa-sched,Interaction,-0.1961237924297783,1.0
GVN,postra-machine-licm,Interaction,-0.1959860247585623,1.0
ScalarReplacementOfAggregates,cgp-select2branch,Interaction,-0.195492489196448,1.0
EnumSizeOpt,expand-reductions,Interaction,-0.1952621023115615,1.0
ReferencePropagation,cgp-store-extract,Interaction,-0.194899708181321,1.0
ReferencePropagation,constant-hoisting,Interaction,-0.1946807722967523,1.0
ReferencePropagation,cfi-fixup,Interaction,-0.1941328937663389,1.0
MatchBranchSimplification,cgdata-for-merging,Interaction,-0.1935486008356108,1.0
