ConfigName,RunID,LLVM_Pass,MIR_Pass,BinarySize(Bytes),TotalRuntime(s),CompileTime(s),Status
EXP_000_ALL_OFF,1,None,All,3067904,10.008186,39.697813,Success
EXP_000_ALL_OFF,2,None,All,3067904,9.993621,34.219583,Success
EXP_000_ALL_OFF,3,None,All,3067904,10.029360,33.675260,Success
EXP_ABL_001_CopyProp,1,None,CopyProp,3073536,9.605005,32.290094,Success
EXP_ABL_001_CopyProp,2,None,CopyProp,3073536,9.654949,32.498775,Success
EXP_ABL_001_CopyProp,3,None,CopyProp,3073536,9.445989,32.073978,Success
EXP_ABL_002_DataflowConstProp,1,None,DataflowConstProp,3082240,9.335735,32.535019,Success
EXP_ABL_002_DataflowConstProp,2,None,DataflowConstProp,3082240,9.597580,32.163916,Success
EXP_ABL_002_DataflowConstProp,3,None,DataflowConstProp,3082240,9.468333,33.403116,Success
EXP_ABL_003_DeadStoreElimination-final,1,None,DeadStoreElimination-final,3087872,9.310663,31.358430,Success
EXP_ABL_003_DeadStoreElimination-final,2,None,DeadStoreElimination-final,3087872,9.649207,31.014828,Success
EXP_ABL_003_DeadStoreElimination-final,3,None,DeadStoreElimination-final,3087872,9.603095,31.314920,Success
EXP_ABL_004_DeadStoreElimination-initial,1,None,DeadStoreElimination-initial,3080192,9.415723,31.440533,Success
EXP_ABL_004_DeadStoreElimination-initial,2,None,DeadStoreElimination-initial,3080192,9.426040,31.305337,Success
EXP_ABL_004_DeadStoreElimination-initial,3,None,DeadStoreElimination-initial,3080192,9.713537,31.299137,Success
EXP_ABL_005_DestinationPropagation,1,None,DestinationPropagation,3090944,9.321330,31.447133,Success
EXP_ABL_005_DestinationPropagation,2,None,DestinationPropagation,3090944,9.576581,30.774970,Success
EXP_ABL_005_DestinationPropagation,3,None,DestinationPropagation,3090944,9.350745,30.836719,Success
EXP_ABL_006_EarlyOtherwiseBranch,1,None,EarlyOtherwiseBranch,3082240,9.493279,31.542429,Success
EXP_ABL_006_EarlyOtherwiseBranch,2,None,EarlyOtherwiseBranch,3082240,9.598378,31.220148,Success
EXP_ABL_006_EarlyOtherwiseBranch,3,None,EarlyOtherwiseBranch,3082240,9.475216,31.093812,Success
EXP_ABL_007_EnumSizeOpt,1,None,EnumSizeOpt,3082240,9.535909,31.246916,Success
EXP_ABL_007_EnumSizeOpt,2,None,EnumSizeOpt,3082240,9.529475,31.308909,Success
EXP_ABL_007_EnumSizeOpt,3,None,EnumSizeOpt,3082240,9.643798,30.814239,Success
EXP_ABL_008_ForceInline,1,None,ForceInline,3082240,9.501905,31.439925,Success
EXP_ABL_008_ForceInline,2,None,ForceInline,3082240,9.329615,31.569315,Success
EXP_ABL_008_ForceInline,3,None,ForceInline,3082240,9.554332,31.563436,Success
EXP_ABL_009_GVN,1,None,GVN,3079168,9.710237,31.688242,Success
EXP_ABL_009_GVN,2,None,GVN,3079168,9.346283,31.621133,Success
EXP_ABL_009_GVN,3,None,GVN,3079168,9.573628,31.936045,Success
